record_type,entity_id,company_id,supplier_id,customer_id,date,amount,status,data_source,details
INVOICES,INV00001,COMP001,SUP004,,2025-08-24,32820970.4,PAID,HISTORICAL,"{'invoice_id': 'INV00001', 'supplier_id': 'SUP004', 'company_id': 'COMP001', 'amount': 32820970.4, 'issue_date': '2025-08-24', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 1.0, 'currency': 'INR', 'payment_method': 'CHEQUE', 'status': 'PAID', 'actual_payment_date': '2025-09-23', 'data_source': 'HISTORICAL'}"
INVOICES,INV00002,COMP001,SUP010,,2025-12-15,33381685.97,PENDING,HISTORICAL,"{'invoice_id': 'INV00002', 'supplier_id': 'SUP010', 'company_id': 'COMP001', 'amount': 33381685.97, 'issue_date': '2025-12-15', 'discount_percentage': 2.0, 'discount_deadline': '2026-01-04', 'late_penalty_percentage': 0.0, 'currency': 'INR', 'payment_method': 'IMPS', 'status': 'PENDING', 'actual_payment_date': nan, 'data_source': 'HISTORICAL'}"
INVOICES,INV00003,COMP001,SUP003,,2025-03-11,36524146.21,PAID,HISTORICAL,"{'invoice_id': 'INV00003', 'supplier_id': 'SUP003', 'company_id': 'COMP001', 'amount': 36524146.21, 'issue_date': '2025-03-11', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 1.5, 'currency': 'INR', 'payment_method': 'NEFT', 'status': 'PAID', 'actual_payment_date': '2025-03-25', 'data_source': 'HISTORICAL'}"
INVOICES,INV00004,COMP001,SUP009,,2025-05-30,12035453.82,PAID,HISTORICAL,"{'invoice_id': 'INV00004', 'supplier_id': 'SUP009', 'company_id': 'COMP001', 'amount': 12035453.82, 'issue_date': '2025-05-30', 'discount_percentage': 1.0, 'discount_deadline': '2025-06-14', 'late_penalty_percentage': 0.0, 'currency': 'INR', 'payment_method': 'CHEQUE', 'status': 'PAID', 'actual_payment_date': '2025-07-13', 'data_source': 'HISTORICAL'}"
INVOICES,INV00005,COMP001,SUP002,,2025-09-06,12794703.71,PAID,HISTORICAL,"{'invoice_id': 'INV00005', 'supplier_id': 'SUP002', 'company_id': 'COMP001', 'amount': 12794703.71, 'issue_date': '2025-09-06', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 1.0, 'currency': 'INR', 'payment_method': 'NEFT', 'status': 'PAID', 'actual_payment_date': '2025-10-05', 'data_source': 'HISTORICAL'}"
INVOICES,INV00006,COMP001,SUP013,,2025-10-14,12897482.72,PAID,HISTORICAL,"{'invoice_id': 'INV00006', 'supplier_id': 'SUP013', 'company_id': 'COMP001', 'amount': 12897482.72, 'issue_date': '2025-10-14', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 2.0, 'currency': 'INR', 'payment_method': 'NEFT', 'status': 'PAID', 'actual_payment_date': '2025-12-17', 'data_source': 'HISTORICAL'}"
INVOICES,INV00007,COMP001,SUP012,,2025-03-06,50029147.26,PAID,HISTORICAL,"{'invoice_id': 'INV00007', 'supplier_id': 'SUP012', 'company_id': 'COMP001', 'amount': 50029147.26, 'issue_date': '2025-03-06', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 2.0, 'currency': 'INR', 'payment_method': 'NEFT', 'status': 'PAID', 'actual_payment_date': '2025-05-02', 'data_source': 'HISTORICAL'}"
INVOICES,INV00008,COMP001,SUP003,,2025-07-01,52639713.58,PAID,HISTORICAL,"{'invoice_id': 'INV00008', 'supplier_id': 'SUP003', 'company_id': 'COMP001', 'amount': 52639713.58, 'issue_date': '2025-07-01', 'discount_percentage': 2.0, 'discount_deadline': '2025-07-08', 'late_penalty_percentage': 0.0, 'currency': 'INR', 'payment_method': 'RTGS', 'status': 'PAID', 'actual_payment_date': '2025-07-16', 'data_source': 'HISTORICAL'}"
INVOICES,INV00009,COMP001,SUP015,,2025-06-25,49137402.15,PAID,HISTORICAL,"{'invoice_id': 'INV00009', 'supplier_id': 'SUP015', 'company_id': 'COMP001', 'amount': 49137402.15, 'issue_date': '2025-06-25', 'discount_percentage': 1.0, 'discount_deadline': '2025-07-10', 'late_penalty_percentage': 0.0, 'currency': 'INR', 'payment_method': 'IMPS', 'status': 'PAID', 'actual_payment_date': '2025-08-09', 'data_source': 'HISTORICAL'}"
INVOICES,INV00010,COMP001,SUP003,,2025-09-12,39645345.71,PAID,HISTORICAL,"{'invoice_id': 'INV00010', 'supplier_id': 'SUP003', 'company_id': 'COMP001', 'amount': 39645345.71, 'issue_date': '2025-09-12', 'discount_percentage': 1.5, 'discount_deadline': '2025-09-19', 'late_penalty_percentage': 0.0, 'currency': 'INR', 'payment_method': 'RTGS', 'status': 'PAID', 'actual_payment_date': '2025-09-27', 'data_source': 'HISTORICAL'}"
INVOICES,INV00011,COMP001,SUP013,,2025-05-01,35304645.57,OVERDUE,HISTORICAL,"{'invoice_id': 'INV00011', 'supplier_id': 'SUP013', 'company_id': 'COMP001', 'amount': 35304645.57, 'issue_date': '2025-05-01', 'discount_percentage': 2.0, 'discount_deadline': '2025-05-21', 'late_penalty_percentage': 2.0, 'currency': 'INR', 'payment_method': 'NEFT', 'status': 'OVERDUE', 'actual_payment_date': nan, 'data_source': 'HISTORICAL'}"
INVOICES,INV00012,COMP001,SUP003,,2025-03-27,47120570.17,PAID,HISTORICAL,"{'invoice_id': 'INV00012', 'supplier_id': 'SUP003', 'company_id': 'COMP001', 'amount': 47120570.17, 'issue_date': '2025-03-27', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 1.0, 'currency': 'INR', 'payment_method': 'IMPS', 'status': 'PAID', 'actual_payment_date': '2025-04-08', 'data_source': 'HISTORICAL'}"
INVOICES,INV00013,COMP001,SUP001,,2025-06-03,57069623.87,PAID,HISTORICAL,"{'invoice_id': 'INV00013', 'supplier_id': 'SUP001', 'company_id': 'COMP001', 'amount': 57069623.87, 'issue_date': '2025-06-03', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 0.0, 'currency': 'INR', 'payment_method': 'IMPS', 'status': 'PAID', 'actual_payment_date': '2025-07-08', 'data_source': 'HISTORICAL'}"
INVOICES,INV00014,COMP001,SUP005,,2025-03-05,31069272.15,PAID,HISTORICAL,"{'invoice_id': 'INV00014', 'supplier_id': 'SUP005', 'company_id': 'COMP001', 'amount': 31069272.15, 'issue_date': '2025-03-05', 'discount_percentage': 2.5, 'discount_deadline': '2025-03-20', 'late_penalty_percentage': 0.0, 'currency': 'INR', 'payment_method': 'NEFT', 'status': 'PAID', 'actual_payment_date': '2025-04-17', 'data_source': 'HISTORICAL'}"
