date,company_id,cash_account_id,opening_balance,daily_inflow,daily_outflow,balance,available_balance,reserved_balance,deployable_cash,data_source
2025-01-01,COMP001,CASH001,480000000.0,14677659.15,6335202.08,488342457.07,438342457.07,50000000.0,438342457.07,HISTORICAL
2025-01-02,COMP001,CASH001,488342457.07,9933010.63,6920809.05,491354658.65,441354658.65,50000000.0,441354658.65,HISTORICAL
2025-01-03,COMP001,CASH001,491354658.65,20072575.37,8008116.96,503419117.06,453419117.06,50000000.0,453419117.06,HISTORICAL
2025-01-04,COMP001,CASH001,503419117.06,2733656.0,611918.73,505540854.33,455540854.33,50000000.0,455540854.33,HISTORICAL
2025-01-05,COMP001,CASH001,505540854.33,1400325.88,1094509.47,505846670.74,455846670.74,50000000.0,455846670.74,HISTORICAL
2025-01-06,COMP001,CASH001,505846670.74,15844889.37,6108985.69,515582574.42,465582574.42,50000000.0,465582574.42,HISTORICAL
2025-01-07,COMP001,CASH001,515582574.42,20461371.58,4017356.71,532026589.29,482026589.29,50000000.0,482026589.29,HISTORICAL
2025-01-08,COMP001,CASH001,532026589.29,19266747.48,4157276.18,547136060.59,497136060.59,50000000.0,497136060.59,HISTORICAL
2025-01-09,COMP001,CASH001,547136060.59,16877313.81,8189898.79,555823475.61,505823475.61,50000000.0,505823475.61,HISTORICAL
2025-01-10,COMP001,CASH001,555823475.61,24308525.73,7209882.58,572922118.76,522922118.76,50000000.0,522922118.76,HISTORICAL
2025-01-11,COMP001,CASH001,572922118.76,3544813.15,1136133.97,575330797.94,525330797.94,50000000.0,525330797.94,HISTORICAL
2025-01-12,COMP001,CASH001,575330797.94,1204410.31,1101199.78,575434008.47,525434008.47,50000000.0,525434008.47,HISTORICAL
2025-01-13,COMP001,CASH001,575434008.47,18420810.84,6052614.75,587802204.56,537802204.56,50000000.0,537802204.56,HISTORICAL
2025-01-14,COMP001,CASH001,587802204.56,25028520.56,6076985.82,606753739.3,556753739.3,50000000.0,556753739.3,HISTORICAL
2025-01-15,COMP001,CASH001,606753739.3,13146837.8,5080130.31,614820446.79,564820446.79,50000000.0,564820446.79,HISTORICAL
2025-01-16,COMP001,CASH001,614820446.79,15323931.83,3091713.65,627052664.97,577052664.97,50000000.0,577052664.97,HISTORICAL
2025-01-17,COMP001,CASH001,627052664.97,24892988.65,7700446.63,644245206.99,594245206.99,50000000.0,594245206.99,HISTORICAL
2025-01-18,COMP001,CASH001,644245206.99,43099471.17,1920605.43,685424072.73,635424072.73,50000000.0,635424072.73,HISTORICAL
2025-01-19,COMP001,CASH001,685424072.73,3747510.29,693618.65,688477964.37,638477964.37,50000000.0,638477964.37,HISTORICAL
2025-01-20,COMP001,CASH001,688477964.37,13056662.5,9426309.86,692108317.01,642108317.01,50000000.0,642108317.01,HISTORICAL
2025-01-21,COMP001,CASH001,692108317.01,23998733.76,5764781.25,710342269.52,660342269.52,50000000.0,660342269.52,HISTORICAL
2025-01-22,COMP001,CASH001,710342269.52,16939534.16,6587261.09,720694542.59,670694542.59,50000000.0,670694542.59,HISTORICAL
2025-01-23,COMP001,CASH001,720694542.59,10583714.7,6061609.69,725216647.6,675216647.6,50000000.0,675216647.6,HISTORICAL
2025-01-24,COMP001,CASH001,725216647.6,94196094.33,8974671.85,810438070.08,760438070.08,50000000.0,760438070.08,HISTORICAL
2025-01-25,COMP001,CASH001,810438070.08,1770617.28,1090536.32,811118151.04,761118151.04,50000000.0,761118151.04,HISTORICAL
2025-01-26,COMP001,CASH001,811118151.04,2235351.39,1733547.63,811619954.8,761619954.8,50000000.0,761619954.8,HISTORICAL
2025-01-27,COMP001,CASH001,811619954.8,18578174.29,7760876.89,822437252.2,772437252.2,50000000.0,772437252.2,HISTORICAL
2025-01-28,COMP001,CASH001,822437252.2,18561777.64,25410241.26,815588788.58,765588788.58,50000000.0,765588788.58,HISTORICAL
2025-01-29,COMP001,CASH001,815588788.58,13165799.13,67715875.31,761038712.4,711038712.4,50000000.0,711038712.4,HISTORICAL
2025-01-30,COMP001,CASH001,761038712.4,8512031.03,13651846.88,755898896.55,705898896.55,50000000.0,705898896.55,HISTORICAL
2025-01-31,COMP001,CASH001,755898896.55,16404715.07,4489932.0,767813679.62,717813679.62,50000000.0,717813679.62,HISTORICAL
2025-02-01,COMP001,CASH001,767813679.62,37124398.65,1678377.08,803259701.19,753259701.19,50000000.0,753259701.19,HISTORICAL
2025-02-02,COMP001,CASH001,803259701.19,2319686.66,24504978.42,781074409.43,731074409.43,50000000.0,731074409.43,HISTORICAL
2025-02-03,COMP001,CASH001,781074409.43,104160917.83,4068721.7,881166605.56,831166605.56,50000000.0,831166605.56,HISTORICAL
2025-02-04,COMP001,CASH001,881166605.56,19800878.22,4773556.82,896193926.96,846193926.96,50000000.0,846193926.96,HISTORICAL
2025-02-05,COMP001,CASH001,896193926.96,18279249.5,4708381.89,909764794.57,859764794.57,50000000.0,859764794.57,HISTORICAL
2025-02-06,COMP001,CASH001,909764794.57,10091333.19,16494284.39,903361843.37,853361843.37,50000000.0,853361843.37,HISTORICAL
2025-02-07,COMP001,CASH001,903361843.37,18490951.17,4347703.03,917505091.51,867505091.51,50000000.0,867505091.51,HISTORICAL
2025-02-08,COMP001,CASH001,917505091.51,52051783.09,1905446.0,967651428.6,917651428.6,50000000.0,917651428.6,HISTORICAL
2025-02-09,COMP001,CASH001,967651428.6,3365938.83,21681550.0,949335817.43,899335817.43,50000000.0,899335817.43,HISTORICAL
2025-02-10,COMP001,CASH001,949335817.43,9073123.41,5347195.4,953061745.44,903061745.44,50000000.0,903061745.44,HISTORICAL
2025-02-11,COMP001,CASH001,953061745.44,60298611.64,63556542.95,949803814.13,899803814.13,50000000.0,899803814.13,HISTORICAL
2025-02-12,COMP001,CASH001,949803814.13,20617024.26,36204494.07,934216344.32,884216344.32,50000000.0,884216344.32,HISTORICAL
2025-02-13,COMP001,CASH001,934216344.32,16297628.46,7172598.2,943341374.58,893341374.58,50000000.0,893341374.58,HISTORICAL
2025-02-14,COMP001,CASH001,943341374.58,46469984.02,50056230.47,939755128.13,889755128.13,50000000.0,889755128.13,HISTORICAL
2025-02-15,COMP001,CASH001,939755128.13,48681041.13,6650577.03,981785592.23,931785592.23,50000000.0,931785592.23,HISTORICAL
2025-02-16,COMP001,CASH001,981785592.23,42267568.36,1092648.84,1022960511.75,972960511.75,50000000.0,972960511.75,HISTORICAL
2025-02-17,COMP001,CASH001,1022960511.75,16424221.14,7415509.75,1031969223.14,981969223.14,50000000.0,981969223.14,HISTORICAL
2025-02-18,COMP001,CASH001,1031969223.14,122117880.28,9401627.08,1144685476.34,1094685476.34,50000000.0,1094685476.34,HISTORICAL
2025-02-19,COMP001,CASH001,1144685476.34,21765093.57,9233297.3,1157217272.61,1107217272.61,50000000.0,1107217272.61,HISTORICAL
2025-02-20,COMP001,CASH001,1157217272.61,25318456.88,63100154.88,1119435574.61,1069435574.61,50000000.0,1069435574.61,HISTORICAL
2025-02-21,COMP001,CASH001,1119435574.61,24103693.44,24322745.96,1119216522.09,1069216522.09,50000000.0,1069216522.09,HISTORICAL
2025-02-22,COMP001,CASH001,1119216522.09,3655548.88,20909008.54,1101963062.43,1051963062.43,50000000.0,1051963062.43,HISTORICAL
2025-02-23,COMP001,CASH001,1101963062.43,3388457.04,1515691.55,1103835827.92,1053835827.92,50000000.0,1053835827.92,HISTORICAL
2025-02-24,COMP001,CASH001,1103835827.92,14452260.91,9017008.98,1109271079.85,1059271079.85,50000000.0,1059271079.85,HISTORICAL
2025-02-25,COMP001,CASH001,1109271079.85,25995506.71,7027072.18,1128239514.38,1078239514.38,50000000.0,1078239514.38,HISTORICAL
2025-02-26,COMP001,CASH001,1128239514.38,11095893.41,4069771.47,1135265636.32,1085265636.32,50000000.0,1085265636.32,HISTORICAL
2025-02-27,COMP001,CASH001,1135265636.32,34370064.2,36380420.93,1133255279.59,1083255279.59,50000000.0,1083255279.59,HISTORICAL
2025-02-28,COMP001,CASH001,1133255279.59,21448712.64,10505926.62,1144198065.61,1094198065.61,50000000.0,1094198065.61,HISTORICAL
