invoice_id,supplier_id,company_id,amount,issue_date,discount_percentage,discount_deadline,late_penalty_percentage,currency,payment_method,status,actual_payment_date,data_source
INV00001,SUP004,COMP001,32820970.4,2025-08-24,0.0,,1.0,INR,CHEQUE,PAID,2025-09-23,HISTORICAL
INV00002,SUP010,COMP001,33381685.97,2025-12-15,2.0,2026-01-04,0.0,INR,IMPS,PENDING,,HISTORICAL
INV00003,SUP003,COMP001,36524146.21,2025-03-11,0.0,,1.5,INR,NEFT,PAID,2025-03-25,HISTORICAL
INV00004,SUP009,COMP001,12035453.82,2025-05-30,1.0,2025-06-14,0.0,INR,CHEQUE,PAID,2025-07-13,HISTORICAL
INV00005,SUP002,COMP001,12794703.71,2025-09-06,0.0,,1.0,INR,NEFT,PAID,2025-10-05,HISTORICAL
INV00006,SUP013,COMP001,12897482.72,2025-10-14,0.0,,2.0,INR,NEFT,PAID,2025-12-17,HISTORICAL
INV00007,SUP012,COMP001,50029147.26,2025-03-06,0.0,,2.0,INR,NEFT,PAID,2025-05-02,HISTORICAL
INV00008,SUP003,COMP001,52639713.58,2025-07-01,2.0,2025-07-08,0.0,INR,RTGS,PAID,2025-07-16,HISTORICAL
INV00009,SUP015,COMP001,49137402.15,2025-06-25,1.0,2025-07-10,0.0,INR,IMPS,PAID,2025-08-09,HISTORICAL
INV00010,SUP003,COMP001,39645345.71,2025-09-12,1.5,2025-09-19,0.0,INR,RTGS,PAID,2025-09-27,HISTORICAL
INV00011,SUP013,COMP001,35304645.57,2025-05-01,2.0,2025-05-21,2.0,INR,NEFT,OVERDUE,,HISTORICAL
INV00012,SUP003,COMP001,47120570.17,2025-03-27,0.0,,1.0,INR,IMPS,PAID,2025-04-08,HISTORICAL
INV00013,SUP001,COMP001,57069623.87,2025-06-03,0.0,,0.0,INR,IMPS,PAID,2025-07-08,HISTORICAL
INV00014,SUP005,COMP001,31069272.15,2025-03-05,2.5,2025-03-20,0.0,INR,NEFT,PAID,2025-04-17,HISTORICAL
INV00015,SUP014,COMP001,40847477.19,2025-06-21,2.5,2025-07-06,0.0,INR,CHEQUE,PAID,2025-08-25,HISTORICAL
INV00016,SUP004,COMP001,11592591.68,2025-10-08,2.0,2025-10-18,0.0,INR,IMPS,PAID,2025-11-14,HISTORICAL
INV00017,SUP009,COMP001,12926812.96,2025-04-27,1.0,2025-05-12,0.0,INR,RTGS,PAID,2025-06-09,HISTORICAL
INV00018,SUP003,COMP001,8355520.7,2025-10-18,0.0,,2.0,INR,NEFT,PAID,2025-11-04,HISTORICAL
INV00019,SUP015,COMP001,38867845.39,2025-04-03,0.0,,1.0,INR,RTGS,PAID,2025-05-15,HISTORICAL
INV00020,SUP003,COMP001,56162064.41,2025-01-02,0.0,,2.0,INR,CHEQUE,OVERDUE,,HISTORICAL
INV00021,SUP008,COMP001,12441264.31,2025-02-07,0.0,,1.0,INR,CHEQUE,PAID,2025-03-24,HISTORICAL
INV00022,SUP006,COMP001,12113087.75,2025-09-15,2.0,2025-09-30,2.0,INR,CHEQUE,PAID,2025-10-30,HISTORICAL
INV00023,SUP007,COMP001,14495537.69,2025-11-10,2.5,2025-11-20,0.0,INR,RTGS,PAID,2025-12-09,HISTORICAL
INV00024,SUP003,COMP001,17622135.85,2025-12-18,2.0,2025-12-25,2.0,INR,NEFT,PENDING,,HISTORICAL
INV00025,SUP009,COMP001,42164561.89,2025-04-27,1.0,2025-05-12,1.5,INR,NEFT,PAID,2025-06-09,HISTORICAL
INV00026,SUP013,COMP001,22048776.9,2025-10-17,0.0,,0.0,INR,NEFT,OVERDUE,,HISTORICAL
INV00027,SUP007,COMP001,20965891.37,2025-02-01,0.0,,1.0,INR,RTGS,PAID,2025-03-01,HISTORICAL
INV00028,SUP001,COMP001,33227923.52,2025-10-23,0.0,,1.0,INR,NEFT,PAID,2025-11-19,HISTORICAL
INV00029,SUP003,COMP001,33258803.06,2025-06-06,0.0,,1.5,INR,NEFT,OVERDUE,,HISTORICAL
INV00030,SUP001,COMP001,16201189.95,2025-07-01,1.5,2025-07-11,0.0,INR,CHEQUE,PAID,2025-07-29,HISTORICAL
INV00031,SUP015,COMP001,16962562.82,2025-07-12,0.0,,0.0,INR,NEFT,PAID,2025-08-25,HISTORICAL
INV00032,SUP004,COMP001,38381645.65,2025-06-25,2.5,2025-07-05,0.0,INR,NEFT,PAID,2025-07-22,HISTORICAL
INV00033,SUP002,COMP001,51109113.32,2025-12-21,2.0,2025-12-31,1.0,INR,CHEQUE,PENDING,,HISTORICAL
INV00034,SUP015,COMP001,46757435.6,2025-07-12,2.0,2025-07-27,1.0,INR,IMPS,PAID,2025-08-30,HISTORICAL
INV00035,SUP005,COMP001,16878072.34,2025-09-29,0.0,,0.0,INR,IMPS,PAID,2025-11-13,HISTORICAL
INV00036,SUP005,COMP001,38416832.5,2025-06-07,0.0,,0.0,INR,CHEQUE,PAID,2025-08-08,HISTORICAL
INV00037,SUP001,COMP001,45391163.71,2025-11-05,0.0,,1.5,INR,NEFT,PAID,2025-12-10,HISTORICAL
INV00038,SUP008,COMP001,27271686.0,2025-08-15,2.5,2025-08-30,1.0,INR,RTGS,PAID,2025-09-29,HISTORICAL
INV00039,SUP015,COMP001,25707443.11,2025-05-27,0.0,,0.0,INR,IMPS,PAID,2025-07-08,HISTORICAL
INV00040,SUP006,COMP001,7851856.43,2025-11-01,0.0,,0.0,INR,NEFT,PAID,2025-12-13,HISTORICAL
INV00041,SUP004,COMP001,53341948.69,2025-08-05,2.0,2025-08-15,2.0,INR,NEFT,PAID,2025-09-02,HISTORICAL
INV00042,SUP004,COMP001,41062700.77,2025-04-15,0.0,,0.0,INR,CHEQUE,PAID,2025-05-30,HISTORICAL
INV00043,SUP005,COMP001,50760615.05,2025-04-04,2.5,2025-04-19,1.0,INR,RTGS,PAID,2025-05-23,HISTORICAL
INV00044,SUP005,COMP001,45850148.1,2025-04-05,1.0,2025-04-20,0.0,INR,NEFT,PAID,2025-05-18,HISTORICAL
INV00045,SUP005,COMP001,45917034.35,2025-03-23,2.0,2025-04-07,0.0,INR,NEFT,PAID,2025-05-10,HISTORICAL
INV00046,SUP005,COMP001,25295955.07,2025-08-31,0.0,,2.0,INR,CHEQUE,PAID,2025-10-13,HISTORICAL
INV00047,SUP014,COMP001,17380113.34,2025-08-18,0.0,,0.0,INR,CHEQUE,PAID,2025-10-01,HISTORICAL
INV00048,SUP006,COMP001,10338834.65,2025-09-19,1.5,2025-10-04,0.0,INR,IMPS,PAID,2025-11-03,HISTORICAL
INV00049,SUP004,COMP001,27796321.66,2025-10-12,0.0,,2.0,INR,NEFT,PAID,2025-11-08,HISTORICAL
INV00050,SUP010,COMP001,3600999.38,2025-02-12,0.0,,1.5,INR,CHEQUE,PAID,2025-04-13,HISTORICAL
INV00051,SUP004,COMP001,47270989.44,2025-02-15,0.0,,0.0,INR,NEFT,PAID,2025-03-15,HISTORICAL
INV00052,SUP012,COMP001,12874275.97,2025-06-08,1.5,2025-06-28,0.0,INR,NEFT,PAID,2025-08-05,HISTORICAL
INV00053,SUP001,COMP001,19972961.58,2025-04-22,0.0,,2.0,INR,NEFT,PAID,2025-05-20,HISTORICAL
INV00054,SUP008,COMP001,38143020.93,2025-10-05,0.0,,1.0,INR,RTGS,PAID,2025-11-17,HISTORICAL
INV00055,SUP012,COMP001,56763705.74,2025-10-11,0.0,,0.0,INR,CHEQUE,PAID,2025-12-16,HISTORICAL
INV00056,SUP010,COMP001,34770833.25,2025-06-27,2.0,2025-07-17,2.0,INR,IMPS,PAID,2025-08-24,HISTORICAL
INV00057,SUP003,COMP001,27858510.24,2025-03-07,0.0,,2.0,INR,IMPS,OVERDUE,,HISTORICAL
INV00058,SUP009,COMP001,50538408.21,2025-05-30,0.0,,2.0,INR,IMPS,PAID,2025-07-18,HISTORICAL
INV00059,SUP012,COMP001,19848338.16,2025-10-09,2.0,2025-10-29,1.0,INR,CHEQUE,PAID,2025-12-07,HISTORICAL
INV00060,SUP001,COMP001,38837615.08,2025-03-31,1.0,2025-04-10,1.5,INR,CHEQUE,OVERDUE,,HISTORICAL
INV00061,SUP009,COMP001,24239668.61,2025-07-14,2.0,2025-07-29,1.5,INR,IMPS,PAID,2025-08-27,HISTORICAL
INV00062,SUP013,COMP001,10672995.8,2025-06-30,0.0,,0.0,INR,NEFT,PAID,2025-08-27,HISTORICAL
