obligation_id,company_id,supplier_id,description,category,amount,issue_date,due_date,priority,status,data_source
OBL00001,COMP001,SUP004,UTILITY obligation – Denso India Pvt Ltd,UTILITY,17875657.24,2025-04-27,2025-05-27,HIGH,OVERDUE,HISTORICAL
OBL00002,COMP001,SUP009,RENT obligation – Sundaram-Clayton Ltd,RENT,55385806.77,2025-02-03,2025-03-20,CRITICAL,PAID,HISTORICAL
OBL00003,COMP001,SUP009,RAW_MATERIAL obligation – Sundaram-Clayton Ltd,RAW_MATERIAL,51402325.62,2025-05-06,2025-06-20,CRITICAL,PAID,HISTORICAL
OBL00004,COMP001,SUP004,OTHER obligation – Denso India Pvt Ltd,OTHER,43286245.53,2025-01-07,2025-02-06,CRITICAL,PAID,HISTORICAL
OBL00005,COMP001,SUP010,RENT obligation – Valeo India Pvt Ltd,RENT,7429242.4,2025-09-29,2025-11-28,HIGH,PAID,HISTORICAL
OBL00006,COMP001,SUP004,REGULATORY obligation – Denso India Pvt Ltd,REGULATORY,13011836.57,2025-08-14,2025-09-13,HIGH,PAID,HISTORICAL
OBL00007,COMP001,SUP006,TAX obligation – Apollo Tyres Ltd,TAX,56049462.79,2025-10-27,2025-12-11,CRITICAL,PAID,HISTORICAL
OBL00008,COMP001,SUP008,TAX obligation – Bharat Forge Ltd,TAX,34821581.88,2025-07-25,2025-09-08,HIGH,PAID,HISTORICAL
OBL00009,COMP001,SUP003,TAX obligation – Bosch Ltd,TAX,23009047.23,2025-04-13,2025-04-28,CRITICAL,OVERDUE,HISTORICAL
OBL00010,COMP001,SUP014,UTILITY obligation – Asian Paints Industrial,UTILITY,47754837.45,2025-08-13,2025-09-27,HIGH,OVERDUE,HISTORICAL
OBL00011,COMP001,SUP007,SALARY obligation – Motherson Sumi Systems Ltd,SALARY,56160898.84,2025-06-02,2025-07-02,CRITICAL,PAID,HISTORICAL
OBL00012,COMP001,SUP002,SALARY obligation – JSW Steel Ltd,SALARY,18770758.09,2025-09-16,2025-10-16,HIGH,PAID,HISTORICAL
OBL00013,COMP001,SUP005,OTHER obligation – MRF Ltd,OTHER,38973132.43,2025-10-13,2025-11-27,CRITICAL,OVERDUE,HISTORICAL
OBL00014,COMP001,SUP003,TAX obligation – Bosch Ltd,TAX,21615878.5,2025-09-19,2025-10-04,CRITICAL,PAID,HISTORICAL
OBL00015,COMP001,SUP003,TAX obligation – Bosch Ltd,TAX,40061891.54,2025-12-15,2025-12-30,CRITICAL,PAID,HISTORICAL
OBL00016,COMP001,SUP007,SALARY obligation – Motherson Sumi Systems Ltd,SALARY,37802557.31,2025-02-09,2025-03-11,CRITICAL,PAID,HISTORICAL
OBL00017,COMP001,SUP003,EMI obligation – Bosch Ltd,EMI,58178992.62,2025-08-15,2025-08-30,CRITICAL,PAID,HISTORICAL
OBL00018,COMP001,SUP009,RAW_MATERIAL obligation – Sundaram-Clayton Ltd,RAW_MATERIAL,58832532.27,2025-11-10,2025-12-25,CRITICAL,OVERDUE,HISTORICAL
OBL00019,COMP001,SUP015,RENT obligation – Castrol India Ltd,RENT,32397098.87,2025-01-08,2025-02-22,MEDIUM,OVERDUE,HISTORICAL
OBL00020,COMP001,SUP010,RAW_MATERIAL obligation – Valeo India Pvt Ltd,RAW_MATERIAL,47456963.82,2025-12-16,2026-02-14,MEDIUM,PENDING,HISTORICAL
OBL00021,COMP001,SUP012,SALARY obligation – Saint-Gobain India,SALARY,41005965.89,2025-08-08,2025-10-07,HIGH,PAID,HISTORICAL
OBL00022,COMP001,SUP009,EMI obligation – Sundaram-Clayton Ltd,EMI,11176351.5,2025-05-18,2025-07-02,HIGH,OVERDUE,HISTORICAL
OBL00023,COMP001,SUP009,REGULATORY obligation – Sundaram-Clayton Ltd,REGULATORY,51980986.11,2025-01-29,2025-03-15,CRITICAL,OVERDUE,HISTORICAL
OBL00024,COMP001,SUP009,SALARY obligation – Sundaram-Clayton Ltd,SALARY,10512656.94,2025-06-23,2025-08-07,HIGH,PAID,HISTORICAL
OBL00025,COMP001,SUP015,OTHER obligation – Castrol India Ltd,OTHER,23043282.33,2025-07-09,2025-08-23,MEDIUM,OVERDUE,HISTORICAL
OBL00026,COMP001,SUP003,REGULATORY obligation – Bosch Ltd,REGULATORY,7915626.46,2025-03-27,2025-04-11,HIGH,PAID,HISTORICAL
OBL00027,COMP001,SUP010,REGULATORY obligation – Valeo India Pvt Ltd,REGULATORY,25988271.93,2025-10-15,2025-12-14,HIGH,PAID,HISTORICAL
OBL00028,COMP001,SUP004,RENT obligation – Denso India Pvt Ltd,RENT,34854005.14,2025-08-26,2025-09-25,CRITICAL,OVERDUE,HISTORICAL
OBL00029,COMP001,SUP002,TAX obligation – JSW Steel Ltd,TAX,17405586.39,2025-06-02,2025-07-02,HIGH,OVERDUE,HISTORICAL
OBL00030,COMP001,SUP005,EMI obligation – MRF Ltd,EMI,37810088.17,2025-10-03,2025-11-17,CRITICAL,PAID,HISTORICAL
OBL00031,COMP001,SUP012,TAX obligation – Saint-Gobain India,TAX,20838211.96,2025-11-29,2026-01-28,MEDIUM,PENDING,HISTORICAL
OBL00032,COMP001,SUP012,OTHER obligation – Saint-Gobain India,OTHER,37867610.5,2025-08-03,2025-10-02,HIGH,PAID,HISTORICAL
