transaction_id,company_id,type,amount,date,category,description,reference_type,reference_id,status,data_source
TXNBECD3764,COMP001,CUSTOMER_PAYMENT,14677659.15,2025-01-01,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNBAAE260A,COMP001,OPERATING_EXPENSE,-6335202.08,2025-01-01,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN29B1C3D8,COMP001,OPERATING_EXPENSE,-6920809.05,2025-01-02,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN1D0E256A,COMP001,CUSTOMER_PAYMENT,9933010.63,2025-01-02,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNEF54C379,COMP001,CUSTOMER_PAYMENT,20072575.37,2025-01-03,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN9EB80FDB,COMP001,OPERATING_EXPENSE,-8008116.96,2025-01-03,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN1AE1DE0C,COMP001,CUSTOMER_PAYMENT,2733656.0,2025-01-04,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNDFD28EE3,COMP001,OPERATING_EXPENSE,-611918.73,2025-01-04,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNED36FADD,COMP001,CUSTOMER_PAYMENT,1400325.88,2025-01-05,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN472C12A1,COMP001,OPERATING_EXPENSE,-1094509.47,2025-01-05,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN0F226690,COMP001,CUSTOMER_PAYMENT,15844889.37,2025-01-06,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN33A4927A,COMP001,OPERATING_EXPENSE,-6108985.69,2025-01-06,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
