alternative_id,decision_id,action,score,cost,benefit,liquidity_impact,risk
ALT_FUT_DEC_FUT_001_1,DEC_FUT_001,Pay Now,0.87,17991.1,35335.42,-76933.28,0.4
ALT_FUT_DEC_FUT_001_2,DEC_FUT_001,Pay at Maturity,0.6,17315.09,5552.96,-90803.69,0.25
ALT_FUT_DEC_FUT_001_3,DEC_FUT_001,Bank Financing,0.92,4400.26,48215.4,-92927.29,0.42
ALT_FUT_DEC_FUT_001_4,DEC_FUT_001,Supplier Financing,0.85,13458.36,15103.19,-50347.36,0.47
ALT_FUT_DEC_FUT_001_5,DEC_FUT_001,Retain Cash,0.71,16693.94,30719.12,-76119.81,0.37
ALT_FUT_DEC_FUT_002_1,DEC_FUT_002,Pay Now,0.68,17064.58,23587.56,79115.59,0.28
ALT_FUT_DEC_FUT_002_2,DEC_FUT_002,Pay at Maturity,0.86,12034.64,27744.25,27443.14,0.26
ALT_FUT_DEC_FUT_002_3,DEC_FUT_002,Bank Financing,0.81,2183.37,34809.98,-73858.34,0.22
ALT_FUT_DEC_FUT_002_4,DEC_FUT_002,Supplier Financing,0.9,18594.8,22682.87,66379.97,0.23
ALT_FUT_DEC_FUT_002_5,DEC_FUT_002,Retain Cash,0.76,5438.61,47459.96,-72777.63,0.41
ALT_FUT_DEC_FUT_003_1,DEC_FUT_003,Pay Now,0.88,6780.08,36711.72,20660.5,0.19
ALT_FUT_DEC_FUT_003_2,DEC_FUT_003,Pay at Maturity,0.9,3818.15,37002.08,93680.0,0.26
ALT_FUT_DEC_FUT_003_3,DEC_FUT_003,Bank Financing,0.62,6677.97,41904.03,-65226.45,0.48
ALT_FUT_DEC_FUT_003_4,DEC_FUT_003,Supplier Financing,0.9,11563.12,29755.44,-81054.94,0.14
ALT_FUT_DEC_FUT_003_5,DEC_FUT_003,Retain Cash,0.88,3307.61,7775.11,56192.0,0.19
ALT_FUT_DEC_FUT_004_1,DEC_FUT_004,Pay Now,0.83,6064.01,41732.83,83451.9,0.12
ALT_FUT_DEC_FUT_004_2,DEC_FUT_004,Pay at Maturity,0.95,5168.82,43092.73,59478.14,0.24
ALT_FUT_DEC_FUT_004_3,DEC_FUT_004,Bank Financing,0.89,17059.2,12924.52,18503.9,0.42
ALT_FUT_DEC_FUT_004_4,DEC_FUT_004,Supplier Financing,0.84,18365.62,6269.3,40112.16,0.48
