item_id,decision_id,invoice_id,action,amount,score,expected_cost,expected_benefit,risk_score
DITEM_FUT_0001,DEC_FUT_001,INV_FUT_0001,FINANCE,500000.0,88.0,4500.0,15000.0,10.0
DITEM_FUT_0002,DEC_FUT_002,INV_FUT_0001,FINANCE,500000.0,88.0,4500.0,15000.0,10.0
DITEM_FUT_0003,DEC_FUT_003,INV_FUT_0001,FINANCE,500000.0,88.0,4500.0,15000.0,10.0
DITEM_FUT_0004,DEC_FUT_004,INV_FUT_0001,FINANCE,500000.0,88.0,4500.0,15000.0,10.0
DITEM_FUT_0005,DEC_FUT_005,INV_FUT_0001,FINANCE,500000.0,88.0,4500.0,15000.0,10.0
DITEM_FUT_0006,DEC_FUT_006,INV_FUT_0001,FINANCE,500000.0,88.0,4500.0,15000.0,10.0
DITEM_FUT_0007,DEC_FUT_007,INV_FUT_0001,FINANCE,500000.0,88.0,4500.0,15000.0,10.0
DITEM_FUT_0008,DEC_FUT_008,INV_FUT_0001,FINANCE,500000.0,88.0,4500.0,15000.0,10.0
DITEM_FUT_0009,DEC_FUT_009,INV_FUT_0001,FINANCE,500000.0,88.0,4500.0,15000.0,10.0
DITEM_FUT_0010,DEC_FUT_010,INV_FUT_0001,FINANCE,500000.0,88.0,4500.0,15000.0,10.0
DITEM_FUT_0011,DEC_FUT_011,INV_FUT_0001,FINANCE,500000.0,88.0,4500.0,15000.0,10.0
DITEM_FUT_0012,DEC_FUT_012,INV_FUT_0001,FINANCE,500000.0,88.0,4500.0,15000.0,10.0
DITEM_FUT_0013,DEC_FUT_013,INV_FUT_0001,FINANCE,500000.0,88.0,4500.0,15000.0,10.0
DITEM_FUT_0014,DEC_FUT_014,INV_FUT_0001,FINANCE,500000.0,88.0,4500.0,15000.0,10.0
