date,company_id,cash_account_id,opening_balance,daily_inflow,daily_outflow,balance,available_balance,reserved_balance,deployable_cash,invoices_created_count,invoices_created_amount,obligations_created_count,obligations_created_amount,customer_payment_amount,operating_expense_amount,supplier_payment_amount,customer_payment_count,operating_expense_count,supplier_payment_count,unexpected_expense_amount,unexpected_expense_count,loan_draw_amount,loan_draw_count,loan_repayment_amount,loan_repayment_count,interest_payment_amount,interest_payment_count,events_logged_count
2026-08-28,TATA001,CASH001,4204079.97,0.0,1650000.0,2554079.97,1954079.97,970000.0,984079.97,1.0,68902.88,0.0,0.0,0.0,1650000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-29,TATA001,CASH001,2554079.97,0.0,0.0,2554079.97,1954079.97,970000.0,984079.97,1.0,140555.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-30,TATA001,CASH001,2554079.97,0.0,0.0,2554079.97,1954079.97,970000.0,984079.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-31,TATA001,CASH001,2554079.97,0.0,0.0,2554079.97,1954079.97,970000.0,984079.97,1.0,21563.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-01,TATA001,CASH001,2554079.97,0.0,120000.0,2434079.97,1834079.97,970000.0,864079.97,2.0,210576.66999999998,0.0,0.0,0.0,120000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-02,TATA001,CASH001,2434079.97,0.0,0.0,2434079.97,1834079.97,850000.0,984079.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-03,TATA001,CASH001,2434079.97,0.0,0.0,2434079.97,1834079.97,850000.0,984079.97,1.0,81395.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-04,TATA001,CASH001,2434079.97,0.0,0.0,2434079.97,1834079.97,850000.0,984079.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-05,TATA001,CASH001,2434079.97,0.0,0.0,2434079.97,1834079.97,850000.0,984079.97,2.0,118968.54000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-06,TATA001,CASH001,2434079.97,0.0,0.0,2434079.97,1834079.97,850000.0,984079.97,1.0,148629.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
