invoice_id,supplier_id,company_id,amount,issue_date,discount_percentage,discount_deadline,late_penalty_percentage,currency,payment_method,status,actual_payment_date
INV_FUT_0260,SUP003,TATA001,68902.88,2026-08-28,0.0,,2.0,INR,NEFT,PAID,2026-10-12
INV_FUT_0261,SUP003,TATA001,140555.66,2026-08-29,0.0,,2.0,INR,NEFT,PAID,2026-10-13
INV_FUT_0262,SUP002,TATA001,21563.53,2026-08-31,0.0,,2.0,INR,NEFT,PAID,2026-09-30
INV_FUT_0263,SUP003,TATA001,69820.02,2026-09-01,0.0,,2.0,INR,NEFT,PAID,2026-10-16
INV_FUT_0264,SUP006,TATA001,140756.65,2026-09-01,0.0,,2.0,INR,NEFT,PAID,2026-10-16
INV_FUT_0265,SUP008,TATA001,81395.73,2026-09-03,0.0,,2.0,INR,NEFT,PAID,2026-10-18
INV_FUT_0266,SUP004,TATA001,68573.91,2026-09-05,0.0,,2.0,INR,NEFT,PAID,2026-10-05
INV_FUT_0267,SUP009,TATA001,50394.63,2026-09-05,0.0,,2.0,INR,NEFT,PAID,2026-09-20
INV_FUT_0268,SUP004,TATA001,148629.8,2026-09-06,0.0,,2.0,INR,NEFT,PAID,2026-10-06
INV_FUT_0269,SUP001,TATA001,203280.38,2026-09-08,0.0,,2.0,INR,NEFT,PAID,2026-10-23
INV_FUT_0270,SUP008,TATA001,81469.81,2026-09-11,1.0,2026-09-21,2.0,INR,NEFT,PAID,2026-10-26
INV_FUT_0271,SUP011,TATA001,101727.84,2026-09-12,0.0,,2.0,INR,NEFT,PAID,2026-10-12
INV_FUT_0272,SUP007,TATA001,75933.54,2026-09-15,0.0,,2.0,INR,NEFT,PAID,2026-11-14
INV_FUT_0273,SUP012,TATA001,48347.47,2026-09-15,1.0,2026-09-25,2.0,INR,NEFT,PAID,2026-10-30
INV_FUT_0274,SUP010,TATA001,460062.9,2026-09-17,0.0,,2.0,INR,NEFT,PAID,2026-11-01
INV_FUT_0275,SUP001,TATA001,233913.71,2026-09-20,0.0,,2.0,INR,NEFT,PAID,2026-11-04
