date,company_id,cash_account_id,opening_balance,daily_inflow,daily_outflow,balance,available_balance,reserved_balance,deployable_cash
2025-01-01,COMP001,CASH001,480000000.0,14677659.15,6335202.08,488342457.07,438342457.07,50000000.0,438342457.07
2025-01-02,COMP001,CASH001,488342457.07,9933010.63,6920809.05,491354658.65,441354658.65,50000000.0,441354658.65
2025-01-03,COMP001,CASH001,491354658.65,20072575.37,8008116.96,503419117.06,453419117.06,50000000.0,453419117.06
2025-01-04,COMP001,CASH001,503419117.06,2733656.0,611918.73,505540854.33,455540854.33,50000000.0,455540854.33
2025-01-05,COMP001,CASH001,505540854.33,1400325.88,1094509.47,505846670.74,455846670.74,50000000.0,455846670.74
2025-01-06,COMP001,CASH001,505846670.74,15844889.37,6108985.69,515582574.42,465582574.42,50000000.0,465582574.42
2025-01-07,COMP001,CASH001,515582574.42,20461371.58,4017356.71,532026589.29,482026589.29,50000000.0,482026589.29
2025-01-08,COMP001,CASH001,532026589.29,19266747.48,4157276.18,547136060.59,497136060.59,50000000.0,497136060.59
2025-01-09,COMP001,CASH001,547136060.59,16877313.81,8189898.79,555823475.61,505823475.61,50000000.0,505823475.61
2025-01-10,COMP001,CASH001,555823475.61,24308525.73,7209882.58,572922118.76,522922118.76,50000000.0,522922118.76
2025-01-11,COMP001,CASH001,572922118.76,3544813.15,1136133.97,575330797.94,525330797.94,50000000.0,525330797.94
2025-01-12,COMP001,CASH001,575330797.94,1204410.31,1101199.78,575434008.47,525434008.47,50000000.0,525434008.47
2025-01-13,COMP001,CASH001,575434008.47,18420810.84,6052614.75,587802204.56,537802204.56,50000000.0,537802204.56
2025-01-14,COMP001,CASH001,587802204.56,25028520.56,6076985.82,606753739.3,556753739.3,50000000.0,556753739.3
2025-01-15,COMP001,CASH001,606753739.3,13146837.8,5080130.31,614820446.79,564820446.79,50000000.0,564820446.79
2025-01-16,COMP001,CASH001,614820446.79,15323931.83,3091713.65,627052664.97,577052664.97,50000000.0,577052664.97
2025-01-17,COMP001,CASH001,627052664.97,24892988.65,7700446.63,644245206.99,594245206.99,50000000.0,594245206.99
2025-01-18,COMP001,CASH001,644245206.99,43099471.17,1920605.43,685424072.73,635424072.73,50000000.0,635424072.73
2025-01-19,COMP001,CASH001,685424072.73,3747510.29,693618.65,688477964.37,638477964.37,50000000.0,638477964.37
2025-01-20,COMP001,CASH001,688477964.37,13056662.5,9426309.86,692108317.01,642108317.01,50000000.0,642108317.01
2025-01-21,COMP001,CASH001,692108317.01,23998733.76,5764781.25,710342269.52,660342269.52,50000000.0,660342269.52
2025-01-22,COMP001,CASH001,710342269.52,16939534.16,6587261.09,720694542.59,670694542.59,50000000.0,670694542.59
2025-01-23,COMP001,CASH001,720694542.59,10583714.7,6061609.69,725216647.6,675216647.6,50000000.0,675216647.6
2025-01-24,COMP001,CASH001,725216647.6,94196094.33,8974671.85,810438070.08,760438070.08,50000000.0,760438070.08
2025-01-25,COMP001,CASH001,810438070.08,1770617.28,1090536.32,811118151.04,761118151.04,50000000.0,761118151.04
2025-01-26,COMP001,CASH001,811118151.04,2235351.39,1733547.63,811619954.8,761619954.8,50000000.0,761619954.8
2025-01-27,COMP001,CASH001,811619954.8,18578174.29,7760876.89,822437252.2,772437252.2,50000000.0,772437252.2
2025-01-28,COMP001,CASH001,822437252.2,18561777.64,25410241.26,815588788.58,765588788.58,50000000.0,765588788.58
2025-01-29,COMP001,CASH001,815588788.58,13165799.13,67715875.31,761038712.4,711038712.4,50000000.0,711038712.4
2025-01-30,COMP001,CASH001,761038712.4,8512031.03,13651846.88,755898896.55,705898896.55,50000000.0,705898896.55
