alternative_id,decision_id,action,score,cost,benefit,liquidity_impact,risk
DAAED43519,DEC6C8C837D,PAY_NOW,0.84,1371028.18,384872.16,0.14,0.45
DAF7CE05AF,DEC6C8C837D,PAY_AT_MATURITY,0.28,236083.41,624577.89,-0.07,0.3
DA800ABC79,DEC6C8C837D,DELAY_PAYMENT,0.73,754122.11,187534.15,0.27,0.35
DA505950DA,DEC6C8C837D,CAPTURE_DISCOUNT,0.35,1151136.63,644634.2,0.19,0.68
DA1596BFED,DEC6C8C837D,BANK_FINANCE,0.69,662669.96,312653.86,0.11,0.32
DA5CE74E97,DEC6C8C837D,SUPPLIER_FINANCE,0.25,445261.35,181875.6,-0.0,0.21
DA342293A5,DEC6C8C837D,RETAIN_CASH,0.37,1294838.5,162907.02,0.1,0.19
DAD9FB6F45,DEC7AA9F6A0,PAY_NOW,0.85,1115923.74,410633.96,-0.14,0.55
DA962B773B,DEC7AA9F6A0,PAY_AT_MATURITY,0.26,667580.38,710670.07,-0.11,0.22
DAF7C84BAB,DEC7AA9F6A0,DELAY_PAYMENT,0.49,846442.7,397728.16,0.27,0.12
DAEDFD0924,DEC7AA9F6A0,CAPTURE_DISCOUNT,0.64,907138.6,338076.98,-0.01,0.88
DA05348840,DEC7AA9F6A0,BANK_FINANCE,0.8,484040.61,189896.15,0.24,0.26
DAE331C714,DEC7AA9F6A0,SUPPLIER_FINANCE,0.52,355146.23,660338.04,-0.23,0.7
DA1D9D866D,DEC7AA9F6A0,RETAIN_CASH,0.13,780759.74,513072.95,-0.26,0.27
DA1E3FC9E8,DEC78370274,PAY_NOW,0.85,1713516.78,337878.03,-0.0,0.17
DAC2360274,DEC78370274,PAY_AT_MATURITY,0.14,382422.35,555765.14,-0.09,0.47
DA3F222AFD,DEC78370274,DELAY_PAYMENT,0.6,1407411.12,194210.37,-0.11,0.45
DA49075132,DEC78370274,CAPTURE_DISCOUNT,0.78,844825.27,336731.17,0.11,0.39
DA90727088,DEC78370274,BANK_FINANCE,0.6,1070642.41,659680.53,0.15,0.45
DAD99BA150,DEC78370274,SUPPLIER_FINANCE,0.65,548952.05,442899.08,0.12,0.59
DAB49527E9,DEC78370274,RETAIN_CASH,0.22,953402.77,509464.67,0.04,0.49
DA4882711F,DEC5094CEDA,PAY_NOW,0.9,712601.0,57598.93,0.09,0.46
DA83A6F08E,DEC5094CEDA,PAY_AT_MATURITY,0.53,654885.21,195231.84,0.15,0.16
DA5DF9F789,DEC5094CEDA,DELAY_PAYMENT,0.83,500733.97,357537.7,-0.12,0.21
DA60A67664,DEC5094CEDA,CAPTURE_DISCOUNT,0.79,593731.32,137675.64,0.2,0.5
DAC096247B,DEC5094CEDA,BANK_FINANCE,0.8,368318.6,329313.21,0.07,0.38
DA39A60D8D,DEC5094CEDA,SUPPLIER_FINANCE,0.48,505732.92,95546.54,0.06,0.28
DA9F043597,DEC5094CEDA,RETAIN_CASH,0.33,471881.25,149211.49,-0.19,0.51
DA875D4FCC,DECC90A7E33,PAY_NOW,0.9,506414.28,465845.08,-0.16,0.57
DA671B2618,DECC90A7E33,PAY_AT_MATURITY,0.31,932246.91,219078.12,0.22,0.5
DA2AAB9F83,DECC90A7E33,DELAY_PAYMENT,0.49,1309793.86,515922.67,-0.3,0.82
DAC23E82EE,DECC90A7E33,CAPTURE_DISCOUNT,0.6,629731.87,628716.87,-0.25,0.65
DA1B92435F,DECC90A7E33,BANK_FINANCE,0.66,787337.58,604085.53,0.17,0.16
DA07CA4E4B,DECC90A7E33,SUPPLIER_FINANCE,0.36,1109997.07,505114.76,-0.2,0.39
DAEC34A204,DECC90A7E33,RETAIN_CASH,0.88,794153.16,254434.54,-0.03,0.79
DA40B24600,DECE24FEC8E,PAY_NOW,0.9,926584.73,843977.45,-0.03,0.22
DAB45B7DED,DECE24FEC8E,PAY_AT_MATURITY,0.85,2131694.37,899485.4,-0.28,0.86
DA7549F50F,DECE24FEC8E,DELAY_PAYMENT,0.37,1649707.07,306016.52,0.27,0.16
DA81FAC30A,DECE24FEC8E,CAPTURE_DISCOUNT,0.54,1909898.51,276325.74,0.26,0.71
DA4951ED7F,DECE24FEC8E,BANK_FINANCE,0.17,294406.8,848784.89,-0.06,0.87
DA20D70F78,DECE24FEC8E,SUPPLIER_FINANCE,0.48,1265800.97,750585.02,-0.09,0.74
DA58E24B3E,DECE24FEC8E,RETAIN_CASH,0.37,1299525.41,188725.99,0.05,0.46
DA294B9D63,DEC83A2C3C6,PAY_NOW,0.84,1236170.17,879472.74,-0.05,0.9
DA86574ED9,DEC83A2C3C6,PAY_AT_MATURITY,0.24,1165106.4,143847.6,-0.24,0.42
DA8BB7A761,DEC83A2C3C6,DELAY_PAYMENT,0.1,1484450.09,853690.99,-0.07,0.68
DAA83CDC0A,DEC83A2C3C6,CAPTURE_DISCOUNT,0.66,301286.9,268953.93,-0.25,0.72
DA8EE8398C,DEC83A2C3C6,BANK_FINANCE,0.34,759008.33,438125.42,-0.12,0.54
DAC9355C4A,DEC83A2C3C6,SUPPLIER_FINANCE,0.77,1068979.99,545673.59,-0.17,0.45
DA23E48013,DEC83A2C3C6,RETAIN_CASH,0.66,908452.16,485200.31,-0.19,0.49
DA92752693,DEC79476D34,PAY_NOW,0.81,500641.74,995809.47,0.07,0.51
DA27513135,DEC79476D34,PAY_AT_MATURITY,0.8,2156581.59,314540.05,-0.1,0.59
DADDA15E3E,DEC79476D34,DELAY_PAYMENT,0.55,2658844.39,1522553.35,-0.28,0.1
DAA61E60BC,DEC79476D34,CAPTURE_DISCOUNT,0.4,1824241.46,777336.78,-0.1,0.57
DA53248D37,DEC79476D34,BANK_FINANCE,0.68,1988551.32,548753.49,-0.0,0.69
DADC39DABD,DEC79476D34,SUPPLIER_FINANCE,0.62,1119650.09,259304.11,0.04,0.88
DA74D77603,DEC79476D34,RETAIN_CASH,0.31,863817.43,1018694.88,-0.28,0.73
DADEC4600D,DECD1503DB0,PAY_NOW,0.87,1288535.33,827042.85,-0.27,0.72
DAD187961A,DECD1503DB0,PAY_AT_MATURITY,0.88,2278157.95,1222946.52,0.12,0.29
DADDEE0B74,DECD1503DB0,DELAY_PAYMENT,0.49,2447970.02,840035.8,0.2,0.25
DAF6C8B862,DECD1503DB0,CAPTURE_DISCOUNT,0.27,1731628.58,887939.48,-0.06,0.55
DAE93524DF,DECD1503DB0,BANK_FINANCE,0.18,1946567.01,641643.3,0.29,0.82
DADB9EFD7A,DECD1503DB0,SUPPLIER_FINANCE,0.62,2206994.0,325779.07,-0.08,0.17
DADF089635,DECD1503DB0,RETAIN_CASH,0.19,1398936.19,830503.04,0.05,0.2
DA4EDEDB0C,DEC5C47AA0E,PAY_NOW,0.23,296903.6,114430.16,0.09,0.54
DA368F9389,DEC5C47AA0E,PAY_AT_MATURITY,0.71,185864.81,59921.1,-0.06,0.42
DA4EC4A7BF,DEC5C47AA0E,DELAY_PAYMENT,0.75,110150.05,163739.86,-0.2,0.85
DA7BE65863,DEC5C47AA0E,CAPTURE_DISCOUNT,0.87,118535.81,51143.76,-0.13,0.66
DADAC42BBE,DEC5C47AA0E,BANK_FINANCE,0.39,161065.21,41612.98,-0.15,0.69
DA00596349,DEC5C47AA0E,SUPPLIER_FINANCE,0.37,87967.29,119838.77,0.24,0.56
DABE131DE9,DEC5C47AA0E,RETAIN_CASH,0.48,152500.47,24264.96,-0.22,0.6
DA2C6CDB5C,DEC21402F0F,PAY_NOW,0.93,796623.67,685226.29,-0.06,0.76
DAFB22567C,DEC21402F0F,PAY_AT_MATURITY,0.68,1969932.85,1061631.54,0.23,0.42
