decision_item_id,decision_id,invoice_id,action,amount,score,expected_cost,expected_benefit,risk_score
DI42D73375,DEC6C8C837D,OBL00027,PAY_NOW,17922211.61,0.84,361300.74,362957.34,0.13
DIBAA8ED9D,DEC7AA9F6A0,OBL00055,PAY_NOW,19561602.75,0.85,613475.81,421479.33,0.44
DIBC59E0D4,DEC78370274,OBL00050,PAY_NOW,23068812.09,0.85,290391.9,660210.33,0.26
DIB2F5341E,DEC5094CEDA,OBL00125,PAY_NOW,9149167.62,0.9,162762.8,213098.84,0.38
DI971762A7,DECC90A7E33,OBL00183,PAY_NOW,18369885.93,0.9,199633.27,391461.98,0.31
DI6B41DC68,DECE24FEC8E,OBL00004,PAY_NOW,29150720.78,0.9,625674.29,526750.86,0.13
DI4CF680B7,DEC83A2C3C6,OBL00082,PAY_NOW,23271807.22,0.84,732265.62,185023.26,0.19
DI93C9CB8C,DEC79476D34,OBL00208,PAY_NOW,39752715.7,0.81,1809597.58,753104.05,0.76
DIF9173F7E,DECD1503DB0,OBL00248,PAY_NOW,31639738.8,0.87,486139.02,359226.19,0.25
DIAF50FFB0,DEC5C47AA0E,OBL00120,PAY_AT_MATURITY,4104385.98,0.71,95084.35,27036.08,0.29
DIB4E3165A,DEC21402F0F,OBL00221,PAY_NOW,31481521.76,0.93,1388316.3,406485.92,0.76
DIB12DAA1C,DEC8AB4CCE0,OBL00241,PAY_AT_MATURITY,13527423.2,0.74,211912.59,133368.52,0.77
DIC03AD76F,DECF36182E4,OBL00159,PAY_AT_MATURITY,19781196.37,0.75,650440.51,542966.2,0.13
DICB73FD66,DECF3AB5507,OBL00051,PAY_NOW,35507781.29,0.93,535046.75,565906.74,0.63
DI045FB59C,DEC106AB908,OBL00172,PAY_AT_MATURITY,14676413.34,0.84,456055.62,358215.79,0.48
DID4DB587C,DECB036D4AE,OBL00067,PAY_NOW,14179156.98,0.83,198474.48,316259.96,0.45
DI2F308623,DECEEA23E70,OBL00033,PAY_NOW,9019091.0,0.85,283223.25,160837.96,0.24
DI572923E9,DEC0E099DF3,OBL00044,PAY_NOW,33673629.51,0.86,1236882.01,567410.16,0.68
DIFF2B3CCA,DEC31535BEE,OBL00240,PAY_NOW,37689771.14,0.9,503850.7,755937.77,0.54
DIA03F6EBF,DECE918667A,OBL00144,PAY_NOW,36777285.82,0.91,1637250.68,1043847.8,0.33
DI78936577,DEC813D1AB8,OBL00041,PAY_NOW,13819113.23,0.89,168230.25,159544.03,0.47
DI4B63835F,DECFBAF87EF,OBL00184,PAY_NOW,35998620.25,0.91,1717353.34,336665.39,0.14
DI222A7F90,DECB5BC8588,OBL00011,PAY_NOW,37507951.88,0.92,1058362.19,1122073.58,0.36
DID7A63375,DEC951658E2,OBL00149,PAY_NOW,19128847.59,0.93,808209.27,252011.44,0.59
DI7C9C289A,DEC2E519FD7,OBL00118,PAY_NOW,13963826.71,0.81,295691.26,244455.88,0.15
DI4DC7CC31,DECA4156B5F,OBL00037,PAY_NOW,7910034.87,0.92,109337.47,53405.8,0.25
DIF2782AFB,DEC893C47F9,OBL00215,PAY_NOW,29812564.1,0.81,1122409.38,777651.77,0.31
DI10E06157,DECB77373BD,OBL00137,PAY_NOW,36165439.25,0.89,453373.86,727579.45,0.67
