decision_id,company_id,created_at,decision_type,chosen_action,confidence,reasoning,status
DECE24FEC8E,COMP001,2025-01-31,OBLIGATION_PAYMENT,PAY_NOW,0.9,"Strong liquidity (₹496,665,110); CRITICAL obligation – paying immediately.",EXECUTED
DEC813D1AB8,COMP001,2025-02-11,OBLIGATION_PAYMENT,PAY_NOW,0.89,"Strong liquidity (₹572,812,162); CRITICAL obligation – paying immediately.",EXECUTED
DEC0E099DF3,COMP001,2025-02-17,OBLIGATION_PAYMENT,PAY_NOW,0.86,"Strong liquidity (₹580,517,431); CRITICAL obligation – paying immediately.",EXECUTED
DEC879AA394,COMP001,2025-02-18,OBLIGATION_PAYMENT,PAY_NOW,0.87,"Strong liquidity (₹641,163,488); HIGH obligation – paying immediately.",EXECUTED
DECE5CFE738,COMP001,2025-02-26,OBLIGATION_PAYMENT,PAY_NOW,0.83,"Strong liquidity (₹610,662,789); HIGH obligation – paying immediately.",EXECUTED
DEC6EAE39E9,COMP001,2025-03-05,OBLIGATION_PAYMENT,PAY_NOW,0.81,"Strong liquidity (₹694,969,837); HIGH obligation – paying immediately.",EXECUTED
DECC90A7E33,COMP001,2025-03-07,OBLIGATION_PAYMENT,PAY_NOW,0.9,"Strong liquidity (₹699,633,883); CRITICAL obligation – paying immediately.",EXECUTED
DEC4EE46F66,COMP001,2025-03-12,OBLIGATION_PAYMENT,PAY_NOW,0.82,"Strong liquidity (₹717,675,287); HIGH obligation – paying immediately.",EXECUTED
DEC5094CEDA,COMP001,2025-03-13,OBLIGATION_PAYMENT,PAY_NOW,0.9,"Strong liquidity (₹759,503,249); HIGH obligation – paying immediately.",EXECUTED
DEC68508448,COMP001,2025-03-21,OBLIGATION_PAYMENT,PAY_NOW,0.86,"Strong liquidity (₹780,333,631); CRITICAL obligation – paying immediately.",EXECUTED
DEC979A7FBE,COMP001,2025-03-27,OBLIGATION_PAYMENT,PAY_NOW,0.86,"Strong liquidity (₹873,149,935); CRITICAL obligation – paying immediately.",EXECUTED
DEC9CEABEDA,COMP001,2025-03-27,OBLIGATION_PAYMENT,PAY_NOW,0.88,"Strong liquidity (₹873,149,935); HIGH obligation – paying immediately.",EXECUTED
DECA5ABACB7,COMP001,2025-04-01,OBLIGATION_PAYMENT,PAY_NOW,0.84,"Strong liquidity (₹937,260,129); HIGH obligation – paying immediately.",EXECUTED
DECBD53BB94,COMP001,2025-04-01,OBLIGATION_PAYMENT,PAY_NOW,0.94,"Strong liquidity (₹937,260,129); HIGH obligation – paying immediately.",EXECUTED
DEC2E519FD7,COMP001,2025-04-11,OBLIGATION_PAYMENT,PAY_NOW,0.81,"Strong liquidity (₹1,073,379,668); HIGH obligation – paying immediately.",EXECUTED
DECEF0527E3,COMP001,2025-04-12,OBLIGATION_PAYMENT,PAY_NOW,0.9,"Strong liquidity (₹1,112,406,727); CRITICAL obligation – paying immediately.",EXECUTED
DECE5C3C7E7,COMP001,2025-04-15,OBLIGATION_PAYMENT,PAY_NOW,0.94,"Strong liquidity (₹1,100,247,553); CRITICAL obligation – paying immediately.",EXECUTED
DECF36182E4,COMP001,2025-04-28,OBLIGATION_PAYMENT,PAY_AT_MATURITY,0.75,Adequate cash; scheduling payment at maturity.,EXECUTED
DEC045111FA,COMP001,2025-05-04,OBLIGATION_PAYMENT,PAY_NOW,0.86,"Strong liquidity (₹1,259,239,052); HIGH obligation – paying immediately.",EXECUTED
DEC8C230617,COMP001,2025-05-18,OBLIGATION_PAYMENT,PAY_NOW,0.82,"Strong liquidity (₹1,349,385,583); HIGH obligation – paying immediately.",EXECUTED
DECB274ABEE,COMP001,2025-05-19,OBLIGATION_PAYMENT,PAY_NOW,0.94,"Strong liquidity (₹1,359,978,584); CRITICAL obligation – paying immediately.",EXECUTED
DEC4FEF25CC,COMP001,2025-05-19,OBLIGATION_PAYMENT,PAY_NOW,0.81,"Strong liquidity (₹1,359,978,584); CRITICAL obligation – paying immediately.",EXECUTED
DEC8A4E1FD5,COMP001,2025-05-22,OBLIGATION_PAYMENT,PAY_NOW,0.9,"Strong liquidity (₹1,467,894,070); HIGH obligation – paying immediately.",EXECUTED
DEC715D59BD,COMP001,2025-06-09,OBLIGATION_PAYMENT,PAY_AT_MATURITY,0.75,Adequate cash; scheduling payment at maturity.,EXECUTED
DEC7D1D2DD7,COMP001,2025-06-10,OBLIGATION_PAYMENT,PAY_NOW,0.83,"Strong liquidity (₹1,262,772,999); CRITICAL obligation – paying immediately.",EXECUTED
DECA1010581,COMP001,2025-06-11,OBLIGATION_PAYMENT,PAY_NOW,0.88,"Strong liquidity (₹1,289,016,056); CRITICAL obligation – paying immediately.",EXECUTED
DEC4069169A,COMP001,2025-06-12,OBLIGATION_PAYMENT,PAY_NOW,0.9,"Strong liquidity (₹1,305,452,534); CRITICAL obligation – paying immediately.",EXECUTED
DEC7AA9F6A0,COMP001,2025-06-13,OBLIGATION_PAYMENT,PAY_NOW,0.85,"Strong liquidity (₹1,305,958,137); HIGH obligation – paying immediately.",EXECUTED
DEC0AED67C2,COMP001,2025-06-13,OBLIGATION_PAYMENT,PAY_NOW,0.88,"Strong liquidity (₹1,305,958,137); HIGH obligation – paying immediately.",EXECUTED
