event_id,company_id,event_type,payload,created_at,processed_at,status
EVTE15C7487,COMP001,INTEREST_RATE_CHANGED,"{""old_rate"": 0.103, ""new_rate"": 0.111}",2025-01-01,2025-01-01 03:00:00,PROCESSED
EVT43B74130,COMP001,UNEXPECTED_EXPENSE,"{""amount"": 74070885.01, ""reason"": ""Emergency repair""}",2025-01-03,2025-01-03 03:00:00,PROCESSED
EVT83FDE788,COMP001,NEW_OBLIGATION,"{""supplier_id"": ""SUP001"", ""amount"": 18878978.69, ""due_days"": 60}",2025-01-05,2025-01-05 03:00:00,PROCESSED
EVT6B400357,COMP001,FINANCING_DRAWN,"{""financing_option_id"": ""FIN002"", ""amount"": 20434541.72}",2025-01-05,2025-01-05 05:00:00,PROCESSED
EVTD318E4A3,COMP001,SUPPLIER_PAYMENT,"{""supplier_id"": ""SUP003"", ""amount"": 7884821.3}",2025-01-06,2025-01-06 03:00:00,PROCESSED
EVT2DF7B15F,COMP001,PAYMENT_RECEIVED,"{""amount"": 22132503.81, ""customer_id"": ""CUST011""}",2025-01-09,2025-01-09 05:00:00,PROCESSED
EVT02A2E70B,COMP001,RECEIVABLE_DELAYED,"{""customer_id"": ""CUST007"", ""delay_days"": 9, ""original_expected_date"": ""2025-04-26"", ""new_expected_date"": ""2025-05-05""}",2025-01-11,2025-01-11 01:00:00,PROCESSED
EVT41C0B6EB,COMP001,INVOICE_CREATED,"{""amount"": 37246881.01, ""customer_id"": ""CUST007"", ""payment_terms"": 45}",2025-01-17,2025-01-17 04:00:00,PROCESSED
EVTF977BA67,COMP001,PAYMENT_RECEIVED,"{""amount"": 38237197.71, ""customer_id"": ""CUST006""}",2025-01-19,2025-01-19 06:00:00,PROCESSED
EVT436EB893,COMP001,FINANCING_DRAWN,"{""financing_option_id"": ""FIN005"", ""amount"": 62209092.75}",2025-01-20,2025-01-20 02:00:00,PROCESSED
EVT06B00E48,COMP001,INTEREST_RATE_CHANGED,"{""old_rate"": 0.104, ""new_rate"": 0.096}",2025-01-22,2025-01-22 02:00:00,PROCESSED
EVT7CA7110A,COMP001,INTEREST_RATE_CHANGED,"{""old_rate"": 0.105, ""new_rate"": 0.128}",2025-01-22,2025-01-22 02:00:00,PROCESSED
EVT33B47180,COMP001,UNEXPECTED_EXPENSE,"{""amount"": 63018826.12, ""reason"": ""Equipment failure""}",2025-01-23,2025-01-23 02:00:00,PROCESSED
EVT8ACBB98E,COMP001,PAYMENT_RECEIVED,"{""amount"": 14680187.59, ""customer_id"": ""CUST006""}",2025-01-24,2025-01-24 03:00:00,PROCESSED
EVTBDE740F2,COMP001,INTEREST_RATE_CHANGED,"{""old_rate"": 0.094, ""new_rate"": 0.106}",2025-01-24,2025-01-24 06:00:00,PROCESSED
EVTE2E1E279,COMP001,UNEXPECTED_EXPENSE,"{""amount"": 46846796.09, ""reason"": ""Regulatory fine""}",2025-01-27,2025-01-27 03:00:00,PROCESSED
EVT2B208732,COMP001,NEW_OBLIGATION,"{""supplier_id"": ""SUP006"", ""amount"": 59932366.69, ""due_days"": 30}",2025-01-29,2025-01-29 04:00:00,PROCESSED
