snapshot_id,company_id,created_at,forecast_horizon_days,projected_cash,minimum_projected_cash,liquidity_risk,expected_inflows,expected_outflows,reserve_requirement,risk_probability
SNAP8DE30610,COMP001,2025-01-03,7,355230110.92,179632003.66,LOW,206240860.43,153895894.17,50000000,0.18
SNAP89734BFB,COMP001,2025-01-03,14,437711945.09,273311897.93,LOW,191792760.81,212044733.34,50000000,0.39
SNAP7E7BBBC2,COMP001,2025-01-03,30,573003865.64,355764994.66,LOW,211482932.68,237815762.04,50000000,0.09
SNAP397D54D6,COMP001,2025-02-04,7,628218734.55,420286624.57,LOW,270712256.77,265244550.75,50000000,0.12
SNAPA64C1058,COMP001,2025-02-04,14,1008211857.2,815721285.53,LOW,319062373.43,444785749.5,50000000,0.18
SNAP376F68DE,COMP001,2025-02-04,30,946919204.76,609491193.12,LOW,461023123.42,284474567.6,50000000,0.3
SNAP80A9D495,COMP001,2025-03-03,7,1141034865.43,848709922.58,LOW,462470703.17,491081110.29,50000000,0.16
SNAP79B7E04A,COMP001,2025-03-03,14,1102245347.32,751281211.45,LOW,593966542.01,433727498.31,50000000,0.16
SNAPCCCD92F6,COMP001,2025-03-03,30,1349519530.95,914869735.69,LOW,712456790.86,493499143.13,50000000,0.3
SNAPAD2BA6CD,COMP001,2025-04-04,7,2025566803.4,1186423311.85,LOW,876028714.49,909617009.09,50000000,0.44
SNAPEEC07747,COMP001,2025-04-04,14,1648076070.8,1294830255.78,LOW,501121092.02,487385637.28,50000000,0.27
SNAPD0B0A451,COMP001,2025-04-04,30,1992493309.34,1325698231.17,LOW,671728566.07,936330660.74,50000000,0.15
SNAPAFF60810,COMP001,2025-05-04,7,3417564017.18,3008111455.4,LOW,1429444786.77,1179199582.5,50000000,0.13
SNAP9E9B5D17,COMP001,2025-05-04,14,1911247658.66,1683470196.54,LOW,1089601194.81,705831165.79,50000000,0.44
SNAP66BA5AE3,COMP001,2025-05-04,30,3337926820.73,1975609834.38,LOW,1930928792.46,1207310573.75,50000000,0.17
SNAPC808EE39,COMP001,2025-06-02,14,2902083854.39,1844632586.28,LOW,1283468813.64,1301242205.76,50000000,0.25
SNAP80F75801,COMP001,2025-06-02,30,3409650354.42,3032196072.98,LOW,1427560387.72,1339065753.79,50000000,0.14
SNAP8F5BB2E3,COMP001,2025-06-02,7,2865088845.2,2509019385.11,LOW,1480796588.61,959579781.05,50000000,0.16
SNAP189D879A,COMP001,2025-07-02,7,2584176257.34,2149773882.36,LOW,1219761953.06,1057409674.28,50000000,0.2
SNAP8D620DAD,COMP001,2025-07-02,14,4611507576.16,2532740800.93,LOW,2048977968.01,1017713868.34,50000000,0.13
SNAP4F5654E9,COMP001,2025-07-02,30,2537055238.18,2202968929.23,LOW,778412786.74,1260689769.77,50000000,0.41
SNAP86505D62,COMP001,2025-08-01,7,3601171948.79,2739592209.06,LOW,1927274621.6,1010486439.74,50000000,0.1
SNAP5C201C85,COMP001,2025-08-01,14,4360025074.75,3004591056.39,LOW,2008394846.83,1043192425.79,50000000,0.14
SNAP29DD43FF,COMP001,2025-08-01,30,4153468663.44,3242981982.15,LOW,2259048268.54,1119750597.33,50000000,0.24
SNAPA5011962,COMP001,2025-09-01,30,2318149274.43,1529698503.64,LOW,1346552662.0,778757178.8,50000000,0.08
SNAP241A9FF8,COMP001,2025-09-01,7,4006573427.85,3103720213.38,LOW,2254548677.13,1603075314.6,50000000,0.1
SNAP8EAF1DBC,COMP001,2025-09-01,14,2361728040.0,1585961597.54,LOW,1387351162.27,929042647.24,50000000,0.09
SNAPE6A29080,COMP001,2025-10-03,7,3888741177.44,2326888828.66,LOW,1365905584.05,1050924544.58,50000000,0.32
SNAP281D76EA,COMP001,2025-10-03,14,2927601764.78,2411941380.29,LOW,1114969942.28,1210366290.28,50000000,0.2
SNAP744CD9FE,COMP001,2025-10-03,30,2362577494.98,1356305147.77,LOW,1351360147.75,859733124.74,50000000,0.19
SNAPC855661D,COMP001,2025-11-02,7,2848665460.71,1660557993.68,LOW,1262355942.5,741736290.88,50000000,0.4
SNAPC6E1708B,COMP001,2025-11-02,14,4264454926.86,3115793036.99,LOW,2136615925.71,1572392344.08,50000000,0.37
SNAP80BCF08C,COMP001,2025-11-02,30,2712812247.83,1477022363.98,LOW,1511869316.91,1312533203.81,50000000,0.26
SNAP93877D3C,COMP001,2025-12-02,14,3540890724.69,2963670070.94,LOW,1732669609.33,1039075392.35,50000000,0.25
SNAPE75BB064,COMP001,2025-12-02,7,3285678274.78,2271993585.36,LOW,1053288053.82,800091511.02,50000000,0.3
SNAPFC312CC4,COMP001,2025-12-02,30,3635398375.45,2189794096.81,LOW,1439271681.98,1431826107.74,50000000,0.36
