date,company_id,cash_account_id,opening_balance,daily_inflow,daily_outflow,balance,available_balance,reserved_balance,deployable_cash,invoices_created_count,invoices_created_amount,obligations_created_count,obligations_created_amount,customer_payment_amount,customer_payment_count,operating_expense_amount,operating_expense_count,supplier_payment_amount,supplier_payment_count,unexpected_expense_amount,unexpected_expense_count,loan_draw_amount,loan_draw_count,loan_repayment_amount,loan_repayment_count,interest_payment_amount,interest_payment_count,events_logged_count
2025-01-01,COMP001,CASH001,480000000.0,14677659.15,6335202.08,488342457.07,438342457.07,50000000.0,438342457.07,2,91311307.11,0,0.0,14677659.15,1,6335202.08,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-01-02,COMP001,CASH001,488342457.07,9933010.63,6920809.05,491354658.65,441354658.65,50000000.0,441354658.65,2,77652398.99,0,0.0,9933010.63,1,6920809.05,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-01-03,COMP001,CASH001,491354658.65,20072575.37,8008116.96,503419117.06,453419117.06,50000000.0,453419117.06,1,9214229.01,1,37517833.87,20072575.37,1,8008116.96,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-01-04,COMP001,CASH001,503419117.06,2733656.0,611918.73,505540854.33,455540854.33,50000000.0,455540854.33,2,77988631.19,0,0.0,2733656.0,1,611918.73,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-01-05,COMP001,CASH001,505540854.33,1400325.88,1094509.47,505846670.74,455846670.74,50000000.0,455846670.74,0,0.0,0,0.0,1400325.88,1,1094509.47,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2
2025-01-06,COMP001,CASH001,505846670.74,15844889.37,6108985.69,515582574.42,465582574.42,50000000.0,465582574.42,0,0.0,0,0.0,15844889.37,1,6108985.69,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-01-07,COMP001,CASH001,515582574.42,20461371.58,4017356.71,532026589.29,482026589.29,50000000.0,482026589.29,0,0.0,1,43286245.53,20461371.58,1,4017356.71,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-01-08,COMP001,CASH001,532026589.29,19266747.48,4157276.18,547136060.59,497136060.59,50000000.0,497136060.59,2,83501538.2,1,32397098.87,19266747.48,1,4157276.18,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-01-09,COMP001,CASH001,547136060.59,16877313.81,8189898.79,555823475.61,505823475.61,50000000.0,505823475.61,0,0.0,0,0.0,16877313.81,1,8189898.79,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-01-10,COMP001,CASH001,555823475.61,24308525.73,7209882.58,572922118.76,522922118.76,50000000.0,522922118.76,3,48665350.04,3,107580660.29,24308525.73,1,7209882.58,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-01-11,COMP001,CASH001,572922118.76,3544813.15,1136133.97,575330797.94,525330797.94,50000000.0,525330797.94,2,69198343.0,0,0.0,3544813.15,1,1136133.97,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-01-12,COMP001,CASH001,575330797.94,1204410.31,1101199.78,575434008.47,525434008.47,50000000.0,525434008.47,1,50181804.25,2,69180210.55,1204410.31,1,1101199.78,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
