source_table,date,company_id,cash_account_id,opening_balance,daily_inflow,daily_outflow,balance,available_balance,reserved_balance,deployable_cash,customer_id,customer_name,industry,payment_terms,risk_category,total_historical_payments,on_time_payments,late_payments,on_time_probability,average_delay_days,payment_history_tier,alternative_id,decision_id,action,score,cost,benefit,liquidity_impact,risk,decision_item_id,invoice_id,amount,expected_cost,expected_benefit,risk_score,created_at,decision_type,chosen_action,confidence,reasoning,status,event_id,event_type,payload,processed_at,financing_option_id,provider,type,interest_rate,credit_limit,available_amount,minimum_amount,processing_fee,repayment_terms,snapshot_id,forecast_horizon_days,projected_cash,minimum_projected_cash,liquidity_risk,expected_inflows,expected_outflows,reserve_requirement,risk_probability,supplier_id,issue_date,discount_percentage,discount_deadline,late_penalty_percentage,currency,payment_method,actual_payment_date,obligation_id,description,category,due_date,priority,receivable_id,invoice_date,expected_date,collection_probability,expected_delay_days,scenario_id,name,parameters,result,strategic_importance,strategic_importance_score,liquidity_risk_score,payment_terms_days,financing_available,financing_rate,transaction_id,reference_type,reference_id
cash_accounts,2025-01-01,COMP001,CASH001,480000000.0,14677659.15,6335202.08,488342457.07,438342457.07,50000000.0,438342457.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash_accounts,2025-01-02,COMP001,CASH001,488342457.07,9933010.63,6920809.05,491354658.65,441354658.65,50000000.0,441354658.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash_accounts,2025-01-03,COMP001,CASH001,491354658.65,20072575.37,8008116.96,503419117.06,453419117.06,50000000.0,453419117.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash_accounts,2025-01-04,COMP001,CASH001,503419117.06,2733656.0,611918.73,505540854.33,455540854.33,50000000.0,455540854.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash_accounts,2025-01-05,COMP001,CASH001,505540854.33,1400325.88,1094509.47,505846670.74,455846670.74,50000000.0,455846670.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash_accounts,2025-01-06,COMP001,CASH001,505846670.74,15844889.37,6108985.69,515582574.42,465582574.42,50000000.0,465582574.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash_accounts,2025-01-07,COMP001,CASH001,515582574.42,20461371.58,4017356.71,532026589.29,482026589.29,50000000.0,482026589.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash_accounts,2025-01-08,COMP001,CASH001,532026589.29,19266747.48,4157276.18,547136060.59,497136060.59,50000000.0,497136060.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash_accounts,2025-01-09,COMP001,CASH001,547136060.59,16877313.81,8189898.79,555823475.61,505823475.61,50000000.0,505823475.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash_accounts,2025-01-10,COMP001,CASH001,555823475.61,24308525.73,7209882.58,572922118.76,522922118.76,50000000.0,522922118.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash_accounts,2025-01-11,COMP001,CASH001,572922118.76,3544813.15,1136133.97,575330797.94,525330797.94,50000000.0,525330797.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash_accounts,2025-01-12,COMP001,CASH001,575330797.94,1204410.31,1101199.78,575434008.47,525434008.47,50000000.0,525434008.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash_accounts,2025-01-13,COMP001,CASH001,575434008.47,18420810.84,6052614.75,587802204.56,537802204.56,50000000.0,537802204.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash_accounts,2025-01-14,COMP001,CASH001,587802204.56,25028520.56,6076985.82,606753739.3,556753739.3,50000000.0,556753739.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash_accounts,2025-01-15,COMP001,CASH001,606753739.3,13146837.8,5080130.31,614820446.79,564820446.79,50000000.0,564820446.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash_accounts,2025-01-16,COMP001,CASH001,614820446.79,15323931.83,3091713.65,627052664.97,577052664.97,50000000.0,577052664.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash_accounts,2025-01-17,COMP001,CASH001,627052664.97,24892988.65,7700446.63,644245206.99,594245206.99,50000000.0,594245206.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash_accounts,2025-01-18,COMP001,CASH001,644245206.99,43099471.17,1920605.43,685424072.73,635424072.73,50000000.0,635424072.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash_accounts,2025-01-19,COMP001,CASH001,685424072.73,3747510.29,693618.65,688477964.37,638477964.37,50000000.0,638477964.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash_accounts,2025-01-20,COMP001,CASH001,688477964.37,13056662.5,9426309.86,692108317.01,642108317.01,50000000.0,642108317.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash_accounts,2025-01-21,COMP001,CASH001,692108317.01,23998733.76,5764781.25,710342269.52,660342269.52,50000000.0,660342269.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash_accounts,2025-01-22,COMP001,CASH001,710342269.52,16939534.16,6587261.09,720694542.59,670694542.59,50000000.0,670694542.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash_accounts,2025-01-23,COMP001,CASH001,720694542.59,10583714.7,6061609.69,725216647.6,675216647.6,50000000.0,675216647.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash_accounts,2025-01-24,COMP001,CASH001,725216647.6,94196094.33,8974671.85,810438070.08,760438070.08,50000000.0,760438070.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
