date,company_id,supplier_id,customer_id,invoice_id,receivable_id,obligation_id,transaction_id,amount,balance,status,name,issue_date,discount_percentage,discount_deadline,late_penalty_percentage,currency,payment_method,actual_payment_date,category,strategic_importance,strategic_importance_score,liquidity_risk,liquidity_risk_score,payment_terms_days,financing_available,financing_rate,invoice_date,expected_date,collection_probability,expected_delay_days,customer_name,industry,payment_terms,risk_category,total_historical_payments,on_time_payments,late_payments,on_time_probability,average_delay_days,payment_history_tier,description,due_date,priority,category_supplier,type,reference_type,reference_id,cash_account_id,opening_balance,daily_inflow,daily_outflow,available_balance,reserved_balance,deployable_cash
2025-08-24,COMP001,SUP004,,INV00001,,,,32820970.4,,PAID,Denso India Pvt Ltd,2025-08-24,0.0,,1.0,INR,CHEQUE,2025-09-23,Engine Components,CRITICAL,0.87,LOW,0.18,30.0,True,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-15,COMP001,SUP010,,INV00002,,,,33381685.97,,PENDING,Valeo India Pvt Ltd,2025-12-15,2.0,2026-01-04,0.0,INR,IMPS,,Lighting Systems,MEDIUM,0.55,MEDIUM,0.5,60.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-11,COMP001,SUP003,,INV00003,,,,36524146.21,,PAID,Bosch Ltd,2025-03-11,0.0,,1.5,INR,NEFT,2025-03-25,Engine Components,CRITICAL,0.91,LOW,0.1,15.0,True,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-30,COMP001,SUP009,,INV00004,,,,12035453.82,,PAID,Sundaram-Clayton Ltd,2025-05-30,1.0,2025-06-14,0.0,INR,CHEQUE,2025-07-13,Aluminium Castings,MEDIUM,0.6,MEDIUM,0.45,45.0,True,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-06,COMP001,SUP002,,INV00005,,,,12794703.71,,PAID,JSW Steel Ltd,2025-09-06,0.0,,1.0,INR,NEFT,2025-10-05,Raw Materials,CRITICAL,0.88,LOW,0.15,30.0,True,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-14,COMP001,SUP013,,INV00006,,,,12897482.72,,PAID,3M India Ltd,2025-10-14,0.0,,2.0,INR,NEFT,2025-12-17,Consumables,LOW,0.28,HIGH,0.68,60.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-06,COMP001,SUP012,,INV00007,,,,50029147.26,,PAID,Saint-Gobain India,2025-03-06,0.0,,2.0,INR,NEFT,2025-05-02,Glass,LOW,0.3,HIGH,0.65,60.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01,COMP001,SUP003,,INV00008,,,,52639713.58,,PAID,Bosch Ltd,2025-07-01,2.0,2025-07-08,0.0,INR,RTGS,2025-07-16,Engine Components,CRITICAL,0.91,LOW,0.1,15.0,True,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-25,COMP001,SUP015,,INV00009,,,,49137402.15,,PAID,Castrol India Ltd,2025-06-25,1.0,2025-07-10,0.0,INR,IMPS,2025-08-09,Lubricants,LOW,0.22,HIGH,0.72,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-12,COMP001,SUP003,,INV00010,,,,39645345.71,,PAID,Bosch Ltd,2025-09-12,1.5,2025-09-19,0.0,INR,RTGS,2025-09-27,Engine Components,CRITICAL,0.91,LOW,0.1,15.0,True,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01,COMP001,SUP013,,INV00011,,,,35304645.57,,OVERDUE,3M India Ltd,2025-05-01,2.0,2025-05-21,2.0,INR,NEFT,,Consumables,LOW,0.28,HIGH,0.68,60.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-27,COMP001,SUP003,,INV00012,,,,47120570.17,,PAID,Bosch Ltd,2025-03-27,0.0,,1.0,INR,IMPS,2025-04-08,Engine Components,CRITICAL,0.91,LOW,0.1,15.0,True,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-03,COMP001,SUP001,,INV00013,,,,57069623.87,,PAID,Tata Steel Ltd,2025-06-03,0.0,,0.0,INR,IMPS,2025-07-08,Raw Materials,CRITICAL,0.93,LOW,0.12,30.0,True,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-05,COMP001,SUP005,,INV00014,,,,31069272.15,,PAID,MRF Ltd,2025-03-05,2.5,2025-03-20,0.0,INR,NEFT,2025-04-17,Tyres,MEDIUM,0.72,MEDIUM,0.35,45.0,True,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-21,COMP001,SUP014,,INV00015,,,,40847477.19,,PAID,Asian Paints Industrial,2025-06-21,2.5,2025-07-06,0.0,INR,CHEQUE,2025-08-25,Paints,LOW,0.25,HIGH,0.7,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-08,COMP001,SUP004,,INV00016,,,,11592591.68,,PAID,Denso India Pvt Ltd,2025-10-08,2.0,2025-10-18,0.0,INR,IMPS,2025-11-14,Engine Components,CRITICAL,0.87,LOW,0.18,30.0,True,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-27,COMP001,SUP009,,INV00017,,,,12926812.96,,PAID,Sundaram-Clayton Ltd,2025-04-27,1.0,2025-05-12,0.0,INR,RTGS,2025-06-09,Aluminium Castings,MEDIUM,0.6,MEDIUM,0.45,45.0,True,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-18,COMP001,SUP003,,INV00018,,,,8355520.7,,PAID,Bosch Ltd,2025-10-18,0.0,,2.0,INR,NEFT,2025-11-04,Engine Components,CRITICAL,0.91,LOW,0.1,15.0,True,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-03,COMP001,SUP015,,INV00019,,,,38867845.39,,PAID,Castrol India Ltd,2025-04-03,0.0,,1.0,INR,RTGS,2025-05-15,Lubricants,LOW,0.22,HIGH,0.72,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02,COMP001,SUP003,,INV00020,,,,56162064.41,,OVERDUE,Bosch Ltd,2025-01-02,0.0,,2.0,INR,CHEQUE,,Engine Components,CRITICAL,0.91,LOW,0.1,15.0,True,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
