invoice_id,supplier_id,company_id,amount,issue_date,discount_percentage,discount_deadline,late_penalty_percentage,currency,payment_method,status,actual_payment_date
INV00001,SUP004,COMP001,32820970.4,2025-08-24,0.0,,1.0,INR,CHEQUE,PAID,2025-09-23
INV00002,SUP010,COMP001,33381685.97,2025-12-15,2.0,2026-01-04,0.0,INR,IMPS,PENDING,
INV00003,SUP003,COMP001,36524146.21,2025-03-11,0.0,,1.5,INR,NEFT,PAID,2025-03-25
INV00004,SUP009,COMP001,12035453.82,2025-05-30,1.0,2025-06-14,0.0,INR,CHEQUE,PAID,2025-07-13
INV00005,SUP002,COMP001,12794703.71,2025-09-06,0.0,,1.0,INR,NEFT,PAID,2025-10-05
INV00006,SUP013,COMP001,12897482.72,2025-10-14,0.0,,2.0,INR,NEFT,PAID,2025-12-17
INV00007,SUP012,COMP001,50029147.26,2025-03-06,0.0,,2.0,INR,NEFT,PAID,2025-05-02
INV00008,SUP003,COMP001,52639713.58,2025-07-01,2.0,2025-07-08,0.0,INR,RTGS,PAID,2025-07-16
INV00009,SUP015,COMP001,49137402.15,2025-06-25,1.0,2025-07-10,0.0,INR,IMPS,PAID,2025-08-09
INV00010,SUP003,COMP001,39645345.71,2025-09-12,1.5,2025-09-19,0.0,INR,RTGS,PAID,2025-09-27
INV00011,SUP013,COMP001,35304645.57,2025-05-01,2.0,2025-05-21,2.0,INR,NEFT,OVERDUE,
INV00012,SUP003,COMP001,47120570.17,2025-03-27,0.0,,1.0,INR,IMPS,PAID,2025-04-08
INV00013,SUP001,COMP001,57069623.87,2025-06-03,0.0,,0.0,INR,IMPS,PAID,2025-07-08
INV00014,SUP005,COMP001,31069272.15,2025-03-05,2.5,2025-03-20,0.0,INR,NEFT,PAID,2025-04-17
INV00015,SUP014,COMP001,40847477.19,2025-06-21,2.5,2025-07-06,0.0,INR,CHEQUE,PAID,2025-08-25
INV00016,SUP004,COMP001,11592591.68,2025-10-08,2.0,2025-10-18,0.0,INR,IMPS,PAID,2025-11-14
INV00017,SUP009,COMP001,12926812.96,2025-04-27,1.0,2025-05-12,0.0,INR,RTGS,PAID,2025-06-09
INV00018,SUP003,COMP001,8355520.7,2025-10-18,0.0,,2.0,INR,NEFT,PAID,2025-11-04
INV00019,SUP015,COMP001,38867845.39,2025-04-03,0.0,,1.0,INR,RTGS,PAID,2025-05-15
INV00020,SUP003,COMP001,56162064.41,2025-01-02,0.0,,2.0,INR,CHEQUE,OVERDUE,
INV00021,SUP008,COMP001,12441264.31,2025-02-07,0.0,,1.0,INR,CHEQUE,PAID,2025-03-24
INV00022,SUP006,COMP001,12113087.75,2025-09-15,2.0,2025-09-30,2.0,INR,CHEQUE,PAID,2025-10-30
INV00023,SUP007,COMP001,14495537.69,2025-11-10,2.5,2025-11-20,0.0,INR,RTGS,PAID,2025-12-09
