obligation_id,company_id,supplier_id,description,category,amount,issue_date,due_date,priority,status
OBL00001,COMP001,SUP004,UTILITY obligation – Denso India Pvt Ltd,UTILITY,12656128.38,2025-04-27,2025-05-27,HIGH,OVERDUE
OBL00002,COMP001,SUP009,RENT obligation – Sundaram-Clayton Ltd,RENT,37004821.94,2025-02-03,2025-03-20,CRITICAL,PAID
OBL00003,COMP001,SUP009,RAW_MATERIAL obligation – Sundaram-Clayton Ltd,RAW_MATERIAL,34419053.47,2025-05-06,2025-06-20,CRITICAL,PAID
OBL00004,COMP001,SUP004,OTHER obligation – Denso India Pvt Ltd,OTHER,29150720.78,2025-01-07,2025-02-06,CRITICAL,PAID
OBL00005,COMP001,SUP010,RENT obligation – Valeo India Pvt Ltd,RENT,5875122.26,2025-09-29,2025-11-28,HIGH,PAID
OBL00006,COMP001,SUP004,REGULATORY obligation – Denso India Pvt Ltd,REGULATORY,9498911.46,2025-08-14,2025-09-13,HIGH,PAID
OBL00007,COMP001,SUP006,TAX obligation – Apollo Tyres Ltd,TAX,37435616.2,2025-10-27,2025-12-11,CRITICAL,PAID
OBL00008,COMP001,SUP008,TAX obligation – Bharat Forge Ltd,TAX,23656114.55,2025-07-25,2025-09-08,HIGH,PAID
OBL00009,COMP001,SUP003,TAX obligation – Bosch Ltd,TAX,15988328.9,2025-04-13,2025-04-28,CRITICAL,OVERDUE
OBL00010,COMP001,SUP014,UTILITY obligation – Asian Paints Industrial,UTILITY,32051385.72,2025-08-13,2025-09-27,HIGH,OVERDUE
OBL00011,COMP001,SUP007,SALARY obligation – Motherson Sumi Systems Ltd,SALARY,37507951.88,2025-06-02,2025-07-02,CRITICAL,PAID
OBL00012,COMP001,SUP002,SALARY obligation – JSW Steel Ltd,SALARY,13237158.76,2025-09-16,2025-10-16,CRITICAL,PAID
OBL00013,COMP001,SUP005,OTHER obligation – MRF Ltd,OTHER,26350980.7,2025-10-13,2025-11-27,CRITICAL,OVERDUE
OBL00014,COMP001,SUP003,TAX obligation – Bosch Ltd,TAX,15083991.31,2025-09-19,2025-10-04,CRITICAL,PAID
OBL00015,COMP001,SUP003,TAX obligation – Bosch Ltd,TAX,27057719.07,2025-12-15,2025-12-30,CRITICAL,PAID
OBL00016,COMP001,SUP007,SALARY obligation – Motherson Sumi Systems Ltd,SALARY,25591133.69,2025-02-09,2025-03-11,CRITICAL,PAID
OBL00017,COMP001,SUP003,EMI obligation – Bosch Ltd,EMI,38817942.58,2025-08-15,2025-08-30,CRITICAL,PAID
OBL00018,COMP001,SUP009,RAW_MATERIAL obligation – Sundaram-Clayton Ltd,RAW_MATERIAL,39242170.07,2025-11-10,2025-12-25,CRITICAL,OVERDUE
OBL00019,COMP001,SUP015,RENT obligation – Castrol India Ltd,RENT,22082327.34,2025-01-08,2025-02-22,HIGH,OVERDUE
OBL00020,COMP001,SUP010,RAW_MATERIAL obligation – Valeo India Pvt Ltd,RAW_MATERIAL,31858029.14,2025-12-16,2026-02-14,MEDIUM,PENDING
OBL00021,COMP001,SUP012,SALARY obligation – Saint-Gobain India,SALARY,27670539.26,2025-08-08,2025-10-07,HIGH,PAID
OBL00022,COMP001,SUP009,EMI obligation – Sundaram-Clayton Ltd,EMI,8307456.24,2025-05-18,2025-07-02,HIGH,OVERDUE
OBL00023,COMP001,SUP009,REGULATORY obligation – Sundaram-Clayton Ltd,REGULATORY,34794675.2,2025-01-29,2025-03-15,CRITICAL,OVERDUE
OBL00024,COMP001,SUP009,SALARY obligation – Sundaram-Clayton Ltd,SALARY,7876636.96,2025-06-23,2025-08-07,HIGH,PAID
OBL00025,COMP001,SUP015,OTHER obligation – Castrol India Ltd,OTHER,16010551.69,2025-07-09,2025-08-23,MEDIUM,OVERDUE
OBL00026,COMP001,SUP003,REGULATORY obligation – Bosch Ltd,REGULATORY,6190845.25,2025-03-27,2025-04-11,HIGH,PAID
