receivable_id,customer_id,company_id,amount,invoice_date,expected_date,collection_probability,expected_delay_days,status,actual_payment_date
RCV00001,CUST020,COMP001,29666087.14,2025-05-25,2025-07-24,0.46,1,PAID,2025-07-23
RCV00002,CUST008,COMP001,40759746.24,2025-05-12,2025-06-11,0.65,0,PAID,2025-06-08
RCV00003,CUST002,COMP001,49216583.06,2025-08-19,2025-09-18,0.87,0,PAID,2025-09-16
RCV00004,CUST015,COMP001,14403734.31,2025-02-19,2025-03-21,0.75,0,PAID,2025-03-18
RCV00005,CUST001,COMP001,11060159.14,2025-07-09,2025-07-24,0.93,0,PAID,2025-07-23
RCV00006,CUST006,COMP001,36281876.39,2025-02-07,2025-03-24,0.67,29,PAID,2025-03-23
RCV00007,CUST018,COMP001,17647151.67,2025-06-24,2025-08-08,0.79,0,PAID,2025-08-14
RCV00008,CUST001,COMP001,8060499.11,2025-02-26,2025-03-13,0.89,0,PAID,2025-03-11
RCV00009,CUST012,COMP001,5024723.66,2025-06-21,2025-07-06,0.9,0,PAID,2025-07-03
RCV00010,CUST009,COMP001,7521944.24,2025-01-27,2025-03-28,0.3,0,PAID,2025-03-27
RCV00011,CUST017,COMP001,46801688.99,2025-06-22,2025-08-06,0.85,0,PAID,2025-08-04
RCV00012,CUST003,COMP001,9904682.39,2025-11-29,2025-12-14,0.93,0,PAID,2025-12-11
RCV00013,CUST010,COMP001,29743678.65,2025-10-13,2025-12-12,0.53,0,PAID,2025-12-10
RCV00014,CUST013,COMP001,21942033.36,2025-01-02,2025-02-01,0.94,0,PAID,2025-02-01
RCV00015,CUST023,COMP001,15653208.91,2025-01-05,2025-02-04,0.88,0,PAID,2025-02-03
RCV00016,CUST011,COMP001,11433911.81,2025-01-18,2025-02-17,0.85,15,PAID,2025-02-16
RCV00017,CUST008,COMP001,15472945.69,2025-02-17,2025-03-19,0.7,0,PAID,2025-03-16
RCV00018,CUST015,COMP001,47171704.87,2025-12-04,2026-01-03,0.82,0,PENDING,
RCV00019,CUST019,COMP001,8400128.94,2025-03-28,2025-05-12,0.36,13,OVERDUE,
RCV00020,CUST007,COMP001,34190317.83,2025-05-19,2025-07-03,0.59,0,OVERDUE,
RCV00021,CUST025,COMP001,16963447.25,2025-12-06,2026-01-20,0.61,29,PENDING,
RCV00022,CUST019,COMP001,40012338.34,2025-06-13,2025-07-28,0.39,2,OVERDUE,
RCV00023,CUST015,COMP001,28511656.72,2025-08-27,2025-09-26,0.75,0,PAID,2025-09-23
RCV00024,CUST022,COMP001,40887777.69,2025-10-02,2025-11-01,1.0,6,PAID,2025-10-30
