transaction_id,company_id,type,amount,date,category,description,reference_type,reference_id,status
TXNA9CA91E3,COMP001,OPERATING_EXPENSE,-7288116.97,2025-01-01,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXNF78556AA,COMP001,OPERATING_EXPENSE,-8041040.21,2025-01-02,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXN2CA3A00F,COMP001,OPERATING_EXPENSE,-9439007.52,2025-01-03,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXN12E63DC2,COMP001,OPERATING_EXPENSE,-611918.73,2025-01-04,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXN8A713159,COMP001,OPERATING_EXPENSE,-1094509.47,2025-01-05,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXN611FC84A,COMP001,OPERATING_EXPENSE,-6997267.32,2025-01-06,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXNC295AF38,COMP001,OPERATING_EXPENSE,-4308030.05,2025-01-07,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXNB5BC1955,COMP001,OPERATING_EXPENSE,-4487926.52,2025-01-08,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXNC4BC0670,COMP001,OPERATING_EXPENSE,-9672727.01,2025-01-09,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXN3C926B3C,COMP001,OPERATING_EXPENSE,-8412706.17,2025-01-10,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXN65837919,COMP001,OPERATING_EXPENSE,-1136133.97,2025-01-11,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXNA1C38112,COMP001,OPERATING_EXPENSE,-1101199.78,2025-01-12,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXN46643F68,COMP001,OPERATING_EXPENSE,-6924790.39,2025-01-13,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXNBD5D9D88,COMP001,OPERATING_EXPENSE,-6956124.63,2025-01-14,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXN69C54BC9,COMP001,OPERATING_EXPENSE,-5674453.26,2025-01-15,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXNFE12A5F2,COMP001,OPERATING_EXPENSE,-3117917.56,2025-01-16,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXN6A6E3A96,COMP001,OPERATING_EXPENSE,-9043431.38,2025-01-17,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXN9BAFBD4C,COMP001,OPERATING_EXPENSE,-1920605.43,2025-01-18,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXN71878033,COMP001,CUSTOMER_PAYMENT,39838682.04,2025-01-18,RECEIVABLE,Collection from CUST021 – RCV00262,RECEIVABLE,RCV00262,COMPLETED
TXNCE501DCB,COMP001,OPERATING_EXPENSE,-693618.65,2025-01-19,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXN0053EEDF,COMP001,OPERATING_EXPENSE,-11262398.39,2025-01-20,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXNC8C23CDF,COMP001,OPERATING_EXPENSE,-6554718.75,2025-01-21,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXN522BD95B,COMP001,OPERATING_EXPENSE,-7612192.83,2025-01-22,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXN5278B359,COMP001,OPERATING_EXPENSE,-6936355.32,2025-01-23,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXNA9EE5140,COMP001,CUSTOMER_PAYMENT,71572312.14,2025-01-24,RECEIVABLE,Collection from CUST001 – RCV00298,RECEIVABLE,RCV00298,COMPLETED
TXNE11F4DD6,COMP001,OPERATING_EXPENSE,-10681720.94,2025-01-24,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXN1A17DB6D,COMP001,OPERATING_EXPENSE,-1090536.32,2025-01-25,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXN0B2642D3,COMP001,OPERATING_EXPENSE,-1733547.63,2025-01-26,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXN2EEE2F47,COMP001,OPERATING_EXPENSE,-9121127.43,2025-01-27,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXN45CF261D,COMP001,SUPPLIER_PAYMENT,-12972774.34,2025-01-28,PAYABLE,Payment to SUP003 – INV00309,INVOICE,INV00309,COMPLETED
TXNB1EB34CD,COMP001,OPERATING_EXPENSE,-17391789.77,2025-01-28,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXNC1BB6E6B,COMP001,SUPPLIER_PAYMENT,-59001510.19,2025-01-29,PAYABLE,Payment to SUP001 – INV00197,INVOICE,INV00197,COMPLETED
TXN8EE6A13E,COMP001,OPERATING_EXPENSE,-11347119.33,2025-01-29,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXNADF4629D,COMP001,OPERATING_EXPENSE,-19328770.88,2025-01-30,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXN682303CE,COMP001,OPERATING_EXPENSE,-5234939.62,2025-01-31,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXN34754CC4,COMP001,OPERATING_EXPENSE,-1678377.08,2025-02-01,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXN17093394,COMP001,CUSTOMER_PAYMENT,34405804.22,2025-02-01,RECEIVABLE,Collection from CUST013 – RCV00014,RECEIVABLE,RCV00014,COMPLETED
TXNA544EA5E,COMP001,OPERATING_EXPENSE,-872018.16,2025-02-02,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXN4194AE25,COMP001,SUPPLIER_PAYMENT,-23632960.26,2025-02-02,PAYABLE,Payment to SUP002 – INV00443,INVOICE,INV00443,COMPLETED
TXN59037218,COMP001,OPERATING_EXPENSE,-4374070.76,2025-02-03,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXN9EB2E16E,COMP001,CUSTOMER_PAYMENT,69499378.79,2025-02-03,RECEIVABLE,Collection from CUST013 – RCV00178,RECEIVABLE,RCV00178,COMPLETED
TXN1010DB53,COMP001,CUSTOMER_PAYMENT,24186464.48,2025-02-03,RECEIVABLE,Collection from CUST023 – RCV00015,RECEIVABLE,RCV00015,COMPLETED
TXNC0360038,COMP001,OPERATING_EXPENSE,-5280287.34,2025-02-04,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXN9F10E75D,COMP001,OPERATING_EXPENSE,-5196491.0,2025-02-05,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXN6D838B72,COMP001,OPERATING_EXPENSE,-7872427.08,2025-02-06,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXNC4F3F693,COMP001,SUPPLIER_PAYMENT,-9704618.89,2025-02-06,PAYABLE,Payment to SUP002 – INV00335,INVOICE,INV00335,COMPLETED
TXN8C223D9F,COMP001,OPERATING_EXPENSE,-4732761.04,2025-02-07,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXN9CD67EDC,COMP001,CUSTOMER_PAYMENT,48131737.88,2025-02-08,RECEIVABLE,Collection from CUST014 – RCV00226,RECEIVABLE,RCV00226,COMPLETED
TXN3273C6C5,COMP001,OPERATING_EXPENSE,-1905446.0,2025-02-08,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXNAD36CC1E,COMP001,SUPPLIER_PAYMENT,-19807644.24,2025-02-09,PAYABLE,Payment to SUP004 – INV00265,INVOICE,INV00265,COMPLETED
TXNC9D0CF56,COMP001,OPERATING_EXPENSE,-1873905.76,2025-02-09,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXND2CAF97D,COMP001,OPERATING_EXPENSE,-6017822.65,2025-02-10,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXNDF5C3ED0,COMP001,CUSTOMER_PAYMENT,31052891.78,2025-02-11,RECEIVABLE,Collection from CUST003 – RCV00158,RECEIVABLE,RCV00158,COMPLETED
TXNC00B6404,COMP001,OPERATING_EXPENSE,-8762955.85,2025-02-11,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXNFF5529E8,COMP001,SUPPLIER_PAYMENT,-56074243.96,2025-02-11,PAYABLE,Payment to SUP001 – INV00426,INVOICE,INV00426,COMPLETED
TXN3333489D,COMP001,SUPPLIER_PAYMENT,-32309796.92,2025-02-12,PAYABLE,Payment to SUP005 – INV00414,INVOICE,INV00414,COMPLETED
TXNB0E4BD4E,COMP001,OPERATING_EXPENSE,-4150324.91,2025-02-12,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXNDA1B6D4D,COMP001,OPERATING_EXPENSE,-8364769.11,2025-02-13,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXNDDFFF23F,COMP001,SUPPLIER_PAYMENT,-36684794.95,2025-02-14,PAYABLE,Payment to SUP003 – INV00420,INVOICE,INV00420,COMPLETED
TXN04410F99,COMP001,CUSTOMER_PAYMENT,14917858.7,2025-02-14,RECEIVABLE,Collection from CUST014 – RCV00107,RECEIVABLE,RCV00107,COMPLETED
TXNF8D59B7C,COMP001,SUPPLIER_PAYMENT,-9214229.01,2025-02-14,PAYABLE,Payment to SUP014 – INV00213,INVOICE,INV00213,COMPLETED
TXN78D89FD9,COMP001,OPERATING_EXPENSE,-4487836.94,2025-02-14,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED
TXNF279B65A,COMP001,CUSTOMER_PAYMENT,39163448.01,2025-02-15,RECEIVABLE,Collection from CUST012 – RCV00147,RECEIVABLE,RCV00147,COMPLETED
